DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/02/2021;32 MALASAÑA STREET;O 3º ANDAR;E2000045400000;ESPANHA;5006494;CINE INTER SANTA INES 02;12;6000140;44834;44835;SANTA INÊS;MA;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000421;05/03/2021 17:39:41
01/02/2021;32 MALASAÑA STREET;O 3º ANDAR;E2000045400000;ESPANHA;5006144;CULT CINEMAS IJUI 01;3;;41664;41665;IJUÍ;RS;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000421;05/03/2021 17:39:41
01/02/2021;A GIRL MISSING;PERFIL DE UMA MULHER;E2000548000000;FRANCA;5003459;ESPAÇO ITAU BOTAFOGO 1;5;6000029;1944;21325;RIO DE JANEIRO;RJ;ZETA FILMES LTDA;02.469.679/0001-98;202482235000221;15/03/2021 12:30:02
01/02/2021;A GIRL MISSING;PERFIL DE UMA MULHER;E2000548000000;FRANCA;5001137;ESPAÇO ITAU FREI CANECA 5;1;6000029;1944;6636;SÃO PAULO;SP;ZETA FILMES LTDA;02.469.679/0001-98;202482235000221;15/03/2021 12:30:02
01/02/2021;A GIRL MISSING;PERFIL DE UMA MULHER;E2000548000000;FRANCA;5005313;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 4 (ANEXO);2;6000029;1944;31112;SÃO PAULO;SP;ZETA FILMES LTDA;02.469.679/0001-98;202482235000221;15/03/2021 12:30:02
01/02/2021;A GIRL MISSING;PERFIL DE UMA MULHER;E2000548000000;FRANCA;5001223;RESERVA CULTURAL 1;1;6000092;2336;6665;SÃO PAULO;SP;ZETA FILMES LTDA;02.469.679/0001-98;202482235000221;15/03/2021 12:30:02
01/02/2021;A GIRL MISSING;PERFIL DE UMA MULHER;E2000548000000;FRANCA;5004599;SALA 2 LEON CAKOFF;9;;12439;26953;SÃO PAULO;SP;ZETA FILMES LTDA;02.469.679/0001-98;202482235000221;15/03/2021 12:30:02
01/02/2021;A PONTE DE BAMBU;;B2000234700000;BRASIL;5005312;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 3;1;6000029;1944;31112;SÃO PAULO;SP;ELO AUDIOVISUAL SERVIÇOS LTDA;07.700.630/0001-18;30006967000221;12/03/2021 18:37:35
01/02/2021;BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU;;B2000006500000;BRASIL;5005314;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 5 (ANEXO);1;6000029;1944;31112;SÃO PAULO;SP;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;08.346.733/0001-94;31011772002221;30/07/2021 08:52:42
01/02/2021;BE NATURAL: THE UNTOLD STORY OF ALICE GUY-BLACHÉ;ALICE GUY-BLACHÉ - A HISTÓRIA NÃO CONTADA DA PRIMEIRA CINEASTA DO MUNDO;E2000320600000;ESTADOS UNIDOS;5002812;PARADIGMA CINE ARTE;1;;16817;16818;FLORIANÓPOLIS;SC;ARTEPLEX DISTRIBUIDORA LTDA;31.694.954/0001-75;304098036000221;16/03/2021 18:17:46
01/02/2021;CALLADO;;B1900390400000;BRASIL;5003459;ESPAÇO ITAU BOTAFOGO 1;2;6000029;1944;21325;RIO DE JANEIRO;RJ;BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP;39.079.678/0001-47;30284769000521;15/03/2021 19:46:35
01/02/2021;CALLADO;;B1900390400000;BRASIL;5005312;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 3;1;6000029;1944;31112;SÃO PAULO;SP;BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP;39.079.678/0001-47;30284769000521;15/03/2021 19:46:35
01/02/2021;CHACRINHA, EU VIM PARA CONFUNDIR NÃO PARA EXPLICAR;;B2000183900000;BRASIL;5003460;ESPAÇO ITAU BOTAFOGO 2;4;6000029;1944;21325;RIO DE JANEIRO;RJ;BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP;39.079.678/0001-47;30284769000521;15/03/2021 19:46:35
01/02/2021;CHACRINHA, EU VIM PARA CONFUNDIR NÃO PARA EXPLICAR;;B2000183900000;BRASIL;5001141;ESPAÇO ITAU FREI CANECA 9;2;6000029;1944;6636;SÃO PAULO;SP;BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP;39.079.678/0001-47;30284769000521;15/03/2021 19:46:35
01/02/2021;CHAMBRE 212 (AKA) ON A MAGICAL NIGHT;QUARTO 212;E2000046900000;BÉLGICA;5000982;GUION CENTER SALA 01;1;;3072;6683;PORTO ALEGRE;RS;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;03.599.148/0001-82;31005610005621;15/03/2023 10:58:38
01/02/2021;DENTE POR DENTE;;B2000440700000;BRASIL;5000796;ANÁLIA FRANCO - SALA 05;7;6000058;749;2622;SÃO PAULO;SP;VITRINE FILMES LTDA;11.620.976/0001-83;30046010000321;05/03/2021 14:55:25
01/02/2021;DENTE POR DENTE;;B2000440700000;BRASIL;5001922;BOA VISTA 3;17;6000037;1991;6634;RECIFE;PE;VITRINE FILMES LTDA;11.620.976/0001-83;30046010000321;05/03/2021 14:55:25
01/02/2021;DENTE POR DENTE;;B2000440700000;BRASIL;5000236;CARIOCA SHOPPING 2;4;6000018;1843;2525;RIO DE JANEIRO;RJ;VITRINE FILMES LTDA;11.620.976/0001-83;30046010000321;05/03/2021 14:55:25
01/02/2021;DENTE POR DENTE;;B2000440700000;BRASIL;5005789;CIDADE LUZ 3 MAXXI STADIUM;3;;32725;32727;GUARABIRA;PB;VITRINE FILMES LTDA;11.620.976/0001-83;30046010000321;05/03/2021 14:55:25
01/02/2021;DENTE POR DENTE;;B2000440700000;BRASIL;5000680;CINE ARICANDUVA 2;3;6000018;1843;897;SÃO PAULO;SP;VITRINE FILMES LTDA;11.620.976/0001-83;30046010000321;05/03/2021 14:55:25
01/02/2021;DENTE POR DENTE;;B2000440700000;BRASIL;5000611;CINE BOURBON 7;6;6000018;1843;904;CAMPO GRANDE;MS;VITRINE FILMES LTDA;11.620.976/0001-83;30046010000321;05/03/2021 14:55:25
01/02/2021;DENTE POR DENTE;;B2000440700000;BRASIL;5002102;CINE DRIVEIN;18;;5465;6715;BRASÍLIA;DF;VITRINE FILMES LTDA;11.620.976/0001-83;30046010000321;05/03/2021 14:55:25
