DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/05/2021;A TORRE;;B1800145300000;BRASIL;5001141;ESPAÇO ITAU FREI CANECA 9;3;6000029;1944;6636;SÃO PAULO;SP;VITRINE FILMES LTDA;11.620.976/0001-83;31046010001021;11/06/2021 16:47:04
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5005371;2118 CINEMARK CENTER SHOPPING JACAREPAGUÁ SALA 04;5;6000018;1843;31558;RIO DE JANEIRO;RJ;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5000671;ABC PLAZA 3;11;6000018;1843;896;SANTO ANDRÉ;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5000797;ANÁLIA FRANCO - SALA 06;32;6000058;749;2622;SÃO PAULO;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5000195;BAY MARKET SALA 04;2;6000037;1991;2419;NITERÓI;RJ;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5003903;CAMPINAS 6;12;6000002;3136;24150;CAMPINAS;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5000242;CARIOCA SHOPPING 6;15;6000018;1843;2525;RIO DE JANEIRO;RJ;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5000246;CENTER VALE 4;12;6000018;1843;2526;SÃO JOSÉ DOS CAMPOS;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5003021;CENTERPLEX BARRETOS 02;2;6000006;16321;18414;BARRETOS;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5006064;CENTERPLEX BOULEVARD 06;6;6000006;40317;40318;VITÓRIA DA CONQUISTA;BA;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5003385;CENTERPLEX CARAGUÁ 04;13;6000006;2836;20413;CARAGUATATUBA;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5006209;CENTERPLEX DIADEMA SALA 02;3;6000006;27814;41783;DIADEMA;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5004862;CENTERPLEX LIMEIRA SALA 01;2;6000006;27814;27816;LIMEIRA;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
01/05/2021;ARIANO APRESENTA: O AUTO DA BOA MENTIRA;;B2000112600000;BRASIL;5000909;CENTERPLEX SUZANO 5;2;6000006;2872;2873;SUZANO;SP;WMIX DISTRIBUIDORA LTDA.;03.918.609/0001-32;30005807001121;30/06/2021 08:55:00
