DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/11/2020;2;;B1900058700000;BRASIL;5005898;CINE CASARÃO;3;;37886;37902;MANAUS;AM;ELO AUDIOVISUAL SERVIÇOS LTDA;07.700.630/0001-18;31006967001920;18/12/2020 18:10:04
01/11/2020;2;;B1900058700000;BRASIL;5005001;CINESYSTEM AMERICAS 05;3;6000027;5348;28834;RIO DE JANEIRO;RJ;ELO AUDIOVISUAL SERVIÇOS LTDA;07.700.630/0001-18;31006967001920;18/12/2020 18:10:04
01/11/2020;AOS OLHOS DE ERNESTO;;B1900448200000;BRASIL;5001208;CINE GLAUBER ROCHA 3;9;6000029;3758;6679;SALVADOR;BA;ELO AUDIOVISUAL SERVIÇOS LTDA;07.700.630/0001-18;31006967001920;18/12/2020 18:10:04
01/11/2020;AOS OLHOS DE ERNESTO;;B1900448200000;BRASIL;5003461;ESPAÇO ITAU BOTAFOGO 3;5;6000029;1944;21325;RIO DE JANEIRO;RJ;ELO AUDIOVISUAL SERVIÇOS LTDA;07.700.630/0001-18;31006967001920;18/12/2020 18:10:04
01/11/2020;AOS OLHOS DE ERNESTO;;B1900448200000;BRASIL;5001139;ESPAÇO ITAU FREI CANECA 7;2;6000029;1944;6636;SÃO PAULO;SP;ELO AUDIOVISUAL SERVIÇOS LTDA;07.700.630/0001-18;31006967001920;18/12/2020 18:10:04
01/11/2020;AOS OLHOS DE ERNESTO;;B1900448200000;BRASIL;5005312;ESPAÇO ITAÚ DE CINEMA AUGUSTA - SALA 3;34;6000029;1944;31112;SÃO PAULO;SP;ELO AUDIOVISUAL SERVIÇOS LTDA;07.700.630/0001-18;31006967001920;18/12/2020 18:10:04
01/11/2020;AOS OLHOS DE ERNESTO;;B1900448200000;BRASIL;5003417;ESPAÇO ITAÚ DE CINEMA BRASILIA 07;4;6000029;1944;20590;BRASÍLIA;DF;ELO AUDIOVISUAL SERVIÇOS LTDA;07.700.630/0001-18;31006967001920;18/12/2020 18:10:04
01/11/2020;BE NATURAL: THE UNTOLD STORY OF ALICE GUY-BLACHÉ;ALICE GUY-BLACHÉ - A HISTÓRIA NÃO CONTADA DA PRIMEIRA CINEASTA DO MUNDO;E2000320600000;ESTADOS UNIDOS;5001210;CINE GLAUBER ROCHA 2;6;6000029;3758;6679;SALVADOR;BA;ARTEPLEX DISTRIBUIDORA LTDA;31.694.954/0001-75;314098036000720;16/12/2020 12:20:13
01/11/2020;BE NATURAL: THE UNTOLD STORY OF ALICE GUY-BLACHÉ;ALICE GUY-BLACHÉ - A HISTÓRIA NÃO CONTADA DA PRIMEIRA CINEASTA DO MUNDO;E2000320600000;ESTADOS UNIDOS;5003462;ESPAÇO ITAU BOTAFOGO 4;6;6000029;1944;21325;RIO DE JANEIRO;RJ;ARTEPLEX DISTRIBUIDORA LTDA;31.694.954/0001-75;314098036000720;16/12/2020 12:20:13
01/11/2020;BE NATURAL: THE UNTOLD STORY OF ALICE GUY-BLACHÉ;ALICE GUY-BLACHÉ - A HISTÓRIA NÃO CONTADA DA PRIMEIRA CINEASTA DO MUNDO;E2000320600000;ESTADOS UNIDOS;5000864;ESPAÇO ITAU COUNTRY 6;6;6000029;1944;2738;PORTO ALEGRE;RS;ARTEPLEX DISTRIBUIDORA LTDA;31.694.954/0001-75;314098036000720;16/12/2020 12:20:13
