DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/10/2020;A BEAUTIFUL DAY IN THE NEIGHBORHOOD;UM LINDO DIA NA VIZINHANÇA;E1900507300000;ESTADOS UNIDOS;5002102;CINE DRIVEIN;70;;5465;6715;BRASÍLIA;DF;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058001820;14/11/2020 03:10:33
01/10/2020;AN OFFICER AND A SPY;O OFICIAL E O ESPIÃO;E1900615500000;FRANCA;5000848;CINE ESTAÇÃO NET BOTAFOGO SALA 1;2;6000030;2685;6713;RIO DE JANEIRO;RJ;ANTONIO FERNANDES FILMES LTDA;02.668.665/0001-01;30005760000720;10/11/2020 14:47:16
01/10/2020;ANNABELLE COMES HOME;ANNABELLE 3: DE VOLTA PARA CASA;E1900234800000;ESTADOS UNIDOS;5006494;CINE INTER SANTA INES 02;17;6000140;44834;44835;SANTA INÊS;MA;WARNER BROS. (SOUTH) INC.;33.015.827/0001-28;31000320001620;10/11/2020 16:26:27
01/10/2020;APOCALYPSE NOW: FINAL CUT;APOCALYPSE NOW: FINAL CUT;E2000169400000;ESTADOS UNIDOS;5000848;CINE ESTAÇÃO NET BOTAFOGO SALA 1;9;6000030;2685;6713;RIO DE JANEIRO;RJ;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA;08.656.129/0001-64;31014368000920;16/11/2020 15:28:23
01/10/2020;APOCALYPSE NOW: FINAL CUT;APOCALYPSE NOW: FINAL CUT;E2000169400000;ESTADOS UNIDOS;5002218;ESTAÇÃO NET GÁVEA 3;3;6000030;592;13608;RIO DE JANEIRO;RJ;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA;08.656.129/0001-64;31014368000920;16/11/2020 15:28:23
01/10/2020;APOCALYPSE NOW: FINAL CUT;APOCALYPSE NOW: FINAL CUT;E2000169400000;ESTADOS UNIDOS;5000771;NEW YORK CITY CENTER - SALA 07;10;6000058;749;2620;RIO DE JANEIRO;RJ;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA;08.656.129/0001-64;31014368000920;16/11/2020 15:28:23
01/10/2020;APOCALYPSE NOW: FINAL CUT;APOCALYPSE NOW: FINAL CUT;E2000169400000;ESTADOS UNIDOS;5003477;SALA CINEPOLIS BELA VISTA 05;4;6000024;17266;21610;SALVADOR;BA;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA;08.656.129/0001-64;31014368000920;16/11/2020 15:28:23
01/10/2020;BACK TO THE FUTURE;DE VOLTA PARA O FUTURO;E1402513800000;ESTADOS UNIDOS;5005375;2120 CINEMARK MOGI DAS CRUZES SALA 04;4;6000018;1843;31561;MOGI DAS CRUZES;SP;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662001320;10/11/2020 15:55:36
01/10/2020;BACK TO THE FUTURE;DE VOLTA PARA O FUTURO;E1402513800000;ESTADOS UNIDOS;5000237;CARIOCA SHOPPING 3;2;6000018;1843;2525;RIO DE JANEIRO;RJ;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662001320;10/11/2020 15:55:36
01/10/2020;BACK TO THE FUTURE;DE VOLTA PARA O FUTURO;E1402513800000;ESTADOS UNIDOS;5002178;KINOPLEX TIJUCA SALA 04;5;6000037;11751;13416;RIO DE JANEIRO;RJ;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662001320;10/11/2020 15:55:36
01/10/2020;BACK TO THE FUTURE;DE VOLTA PARA O FUTURO;E1402513800000;ESTADOS UNIDOS;5000765;NEW YORK CITY CENTER - SALA 01;9;6000058;749;2620;RIO DE JANEIRO;RJ;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662001320;10/11/2020 15:55:36
01/10/2020;BACK TO THE FUTURE;DE VOLTA PARA O FUTURO;E1402513800000;ESTADOS UNIDOS;5001933;SALA KINOPLEX LEBLON SALA 04;3;6000037;11751;11752;RIO DE JANEIRO;RJ;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662001320;10/11/2020 15:55:36
01/10/2020;BAD BOYS FOR LIFE;BAD BOYS PARA SEMPRE;E1900525600000;ESTADOS UNIDOS;5000216;IGUATEMI 7;2;6000037;1991;2425;RIO DE JANEIRO;RJ;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;00.979.601/0001-98;30006058001820;14/11/2020 03:10:33
