DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5000799;ANÁLIA FRANCO - SALA 08;115;6000058;749;2622;SÃO PAULO;SP;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5003838;ARCOPLEXCINEMAS- PATIO CHAPECÓ III;23;6000003;24035;24054;CHAPECÓ;SC;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5003829;ARCOPLEXCINEMAS-JARAGUA DO SUL III;9;6000003;24035;24050;JARAGUÁ DO SUL;SC;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5000342;BOTAFOGO 6;32;6000018;1843;2541;RIO DE JANEIRO;RJ;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002967;BOULEVARD SHOPPING 04;204;6000013;437;17944;BELO HORIZONTE;MG;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002337;CENTER CINE;28;;14489;14490;OLIVEIRA;MG;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5006063;CENTERPLEX BOULEVARD 05;4;6000006;40317;40318;VITÓRIA DA CONQUISTA;BA;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5005881;CENTERPLEX MAG SHOPPING - SALA 02;13;6000006;37601;37602;JOÃO PESSOA;PB;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002404;CINE 7 BAGÉ;19;;14789;14790;BAGÉ;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5006429;CINE ACARAU SALA 01;25;6000047;17605;44296;ACARAÚ;CE;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002436;CINE BARRA SHOPPING SUL 5;15;6000018;1843;14884;PORTO ALEGRE;RS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5000607;CINE BOURBON 3;15;6000018;1843;904;CAMPO GRANDE;MS;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5004833;CINE CALÇADÃO;37;;27785;27787;VIÇOSA;MG;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
01/03/2020;1917;1917;E1900439000000;ESTADOS UNIDOS;5002352;CINE CIDADE JARDIM 5;66;6000018;1843;14628;SÃO PAULO;SP;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000520;08/04/2020 20:33:29
