DATA_EXIBICAO;TITULO_ORIGINAL;TITULO_BRASIL;CPB_ROE;PAIS_OBRA;REGISTRO_SALA;NOME_SALA;PUBLICO;REGISTRO_GRUPO_EXIBIDOR;REGISTRO_EXIBIDOR;REGISTRO_COMPLEXO;MUNICIPIO_SALA_COMPLEXO;UF_SALA_COMPLEXO;RAZAO_SOCIAL_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA;NR_PROTOCOLO_ENVIO;DATA_HORA_ENVIO_PROTOCOLO
01/01/2021;10 HORAS PARA O NATAL;;B2000488900000;BRASIL;5003461;ESPAÇO ITAU BOTAFOGO 3;1;6000029;1944;21325;RIO DE JANEIRO;RJ;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000221;10/02/2021 14:54:24
01/01/2021;10 HORAS PARA O NATAL;;B2000488900000;BRASIL;5003417;ESPAÇO ITAÚ DE CINEMA BRASILIA 07;10;6000029;1944;20590;BRASÍLIA;DF;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000221;10/02/2021 14:54:24
01/01/2021;10 HORAS PARA O NATAL;;B2000488900000;BRASIL;5000770;NEW YORK CITY CENTER - SALA 06;5;6000058;749;2620;RIO DE JANEIRO;RJ;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000221;10/02/2021 14:54:24
01/01/2021;10 HORAS PARA O NATAL;;B2000488900000;BRASIL;5005428;UCI BRASIL - SHOPPING BOSQUE GRÃO PARÁ SALA 03;3;6000058;749;32026;BELÉM;PA;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000221;10/02/2021 14:54:24
01/01/2021;32 MALASAÑA STREET;O 3º ANDAR;E2000045400000;ESPANHA;5005558;CINEMAIS UBERABA 5;6;6000017;2892;33110;UBERABA;MG;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000221;10/02/2021 14:54:24
01/01/2021;32 MALASAÑA STREET;O 3º ANDAR;E2000045400000;ESPANHA;5005565;KINOPLEX NOVA IGUAÇU SALA 04 PLATINUM;18;6000037;1991;33119;NOVA IGUAÇU;RJ;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000221;10/02/2021 14:54:24
01/01/2021;32 MALASAÑA STREET;O 3º ANDAR;E2000045400000;ESPANHA;5000780;NEW YORK CITY CENTER - SALA 16;16;6000058;749;2620;RIO DE JANEIRO;RJ;SM DISTRIBUIDORA DE FILMES LTDA;08.257.054/0001-49;31011026000221;10/02/2021 14:54:24
01/01/2021;BABENCO - ALGUÉM TEM QUE OUVIR O CORAÇÃO E DIZER: PAROU;;B2000006500000;BRASIL;5003459;ESPAÇO ITAU BOTAFOGO 1;3;6000029;1944;21325;RIO DE JANEIRO;RJ;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;08.346.733/0001-94;31011772003021;30/08/2021 13:18:59
01/01/2021;DOLCE FINE GIORNATA;DOCE ENTARDECER NA TOSCANA;E2000011400000;POLÔNIA;5003417;ESPAÇO ITAÚ DE CINEMA BRASILIA 07;6;6000029;1944;20590;BRASÍLIA;DF;ARTEPLEX DISTRIBUIDORA LTDA;31.694.954/0001-75;304098036000121;22/02/2021 16:43:45
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5000236;CARIOCA SHOPPING 2;1;6000018;1843;2525;RIO DE JANEIRO;RJ;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5002565;CINE CATARATAS 2;6;;15565;15566;FOZ DO IGUAÇU;PR;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5003099;CINE DOURADA 4;1;;19238;19239;CABO DE SANTO AGOSTINHO;PE;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5005642;CINE LASER BARRA DO GARÇAS SALA 01;13;6000104;33805;33806;BARRA DO GARÇAS;MT;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5006436;CINE LASER ITABAIANA 1;7;6000104;44323;44324;ITABAIANA;SE;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5006534;CINE LASER SANTAREM 2;7;6000104;44323;45275;SANTARÉM;PA;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5004593;CINE LASER SORRISO 2;4;6000104;19465;19467;SORRISO;MT;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5004772;CINE STAR SALA 01;4;;27464;27466;IMPERATRIZ;MA;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5003265;CINE XIN CACERES SALA 2;17;;14819;15266;CÁCERES;MT;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5002914;CINEMARK BRASILIA 04;1;6000018;1843;17609;BRASÍLIA;DF;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5005629;CINEMARK CAMAÇARI SALA 05;12;6000018;1843;33652;CAMAÇARI;BA;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5002094;CINEMARK FLORIANÓPOLIS V;2;6000018;1843;12977;FLORIANÓPOLIS;SC;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5002095;CINEMARK FLORIANÓPOLIS VII;2;6000018;1843;12977;FLORIANÓPOLIS;SC;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
01/01/2021;FREAKY;FREAKY: NO CORPO DE UM ASSASSINO;E2000371700000;ESTADOS UNIDOS;5003079;CINEMARK SHOPPING CAPIM DOURADO I;21;6000018;1843;19102;PALMAS;TO;UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.;24.810.280/0001-61;303970662000121;10/02/2021 17:37:22
