NOME_SALA;TITULO_ORIGINAL;PUBLICO
EMPRESA CINEMAS SÃO LUIZ S/A - RJ - GRANDE RIO (KINOPLEX GRANDE RIO - 01);AMAZÔNIA PLANETA VERDE;206
GSR KINOPLEXAvenida 1;CINDERELLA;1694
GSR KINOPLEXAvenida 1;INSIDE OUT;892
GSR KINOPLEXAvenida 2;THE AVENGERS: AGE OF ULTRON;5848
GSR KINOPLEXAvenida 3;CINDERELLA;272
GSR KINOPLEXAvenida 3;INSIDE OUT;1439
GSR KINOPLEXAvenida 3;THE AVENGERS: AGE OF ULTRON;5521
GSR KINOPLEXAvenida 3;TOMORROWLAND;830
GSR KINOPLEXAvenida 4;CINDERELLA;3158
GSR KINOPLEXAvenida 4;THE AVENGERS: AGE OF ULTRON;2209
GSR KINOPLEXAvenida 5;CINDERELLA;69
GSR KINOPLEXAvenida 5;THE AVENGERS: AGE OF ULTRON;1555
GSR KINOPLEXAvenida 5;TOMORROWLAND;852
GSR Kinoplex AMazonas 1;CINDERELLA;2395
GSR Kinoplex AMazonas 2;CINDERELLA;1851
GSR Kinoplex AMazonas 3;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;514
GSR Kinoplex AMazonas 4;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;306
GSR Kinoplex Amazonas 1;GUARDIANS OF THE GALAXY;1005
GSR Kinoplex Amazonas 1;MALEFICENT;201
GSR Kinoplex Amazonas 1;MUPPETS MOST WANTED;454
GSR Kinoplex Amazonas 1;PLANES FIRE AND RESCUE;402
GSR Kinoplex Amazonas 2;MALEFICENT;4401
GSR Kinoplex Amazonas 3;GUARDIANS OF THE GALAXY;3990
GSR Kinoplex Amazonas 3;MALEFICENT;6243
GSR Kinoplex Amazonas 3;PLANES FIRE AND RESCUE;123
GSR Kinoplex Amazonas 4;GUARDIANS OF THE GALAXY;3757
GSR Kinoplex Amazonas 4;MALEFICENT;9270
GSR Kinoplex Amazonas 5;MALEFICENT;2582
GSR Kinoplex Amazonas 5;PLANES FIRE AND RESCUE;922
GSR Kinoplex Amazonasazonas 1;BIG HERO 6;198
GSR Kinoplex Amazonasazonas 3;BIG HERO 6;793
GSR Kinoplex Amazonasazonas 3;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;512
GSR Kinoplex Amazonasazonas 4;A WALK AMONG THE TOMBSTONES;534
GSR Kinoplex Amazonasazonas 4;INTO THE WOODS;850
GSR Kinoplex Amazonasazonas 5;A WALK AMONG THE TOMBSTONES;2076
GSR Kinoplex Amazonasazonas 5;BIG HERO 6;4564
GSR Kinoplex Avenida 1;BIG HERO 6;125
GSR Kinoplex Avenida 1;INTO THE WOODS;1084
GSR Kinoplex Avenida 2;BIG HERO 6;1166
GSR Kinoplex Avenida 2;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;386
GSR Kinoplex Avenida 3;CINDERELLA;1578
GSR Kinoplex Avenida 4;BIG HERO 6;149
GSR Kinoplex Avenida 4;TINKERBELL AND THE LEGEND OF THE NEVERBEAST;148
GSR Kinoplex Avenida 5;CINDERELLA;534
GSR Kinoplex Top Shopping 6;DOCTOR STRANGE;1666
IMAX KINOPLEX DOM PEDRO (SALA 07);THE DIVERGENT SERIES - INSURGENT;1953
KINOPLEX AMAZONAS 1 A 3 (01);BELLE ET LA BÊTE, LA;1117
KINOPLEX AMAZONAS 1 A 3 (01);THE EXPENDABLES 3;467
KINOPLEX AMAZONAS 1 A 3 (01);TOKAREV;963
KINOPLEX AMAZONAS 1 A 3 (02);BELLE ET LA BÊTE, LA;2170
KINOPLEX AMAZONAS 1 A 3 (02);THE EXPENDABLES 3;1951
KINOPLEX AMAZONAS 1 A 3 (04);BELLE ET LA BÊTE, LA;208
KINOPLEX AMAZONAS 1 A 3 (04);PRAIA DO FUTURO;425
KINOPLEX AMAZONAS 1 A 3 (04);THE EXPENDABLES 3;10815
KINOPLEX AMAZONAS 1 A 3 (04);TOKAREV;1667
KINOPLEX AMAZONAS 1 A 3 (05);BELLE ET LA BÊTE, LA;443
KINOPLEX AMAZONAS SALA 01;#RUNSEOKJIN_EP.TOUR THE MOVIE;92
KINOPLEX AMAZONAS SALA 01;(DES)CONTROLE;8
KINOPLEX AMAZONAS SALA 01;10 CLOVERFIELD LANE;205
KINOPLEX AMAZONAS SALA 01;10 LIVES;40
KINOPLEX AMAZONAS SALA 01;10 SEGUNDOS PARA VENCER;101
KINOPLEX AMAZONAS SALA 01;13 EXORCISMOS;509
KINOPLEX AMAZONAS SALA 01;21 BRIDGES;190
KINOPLEX AMAZONAS SALA 01;28 YEARS LATER: THE BONE TEMPLE;365
KINOPLEX AMAZONAS SALA 01;32 MALASAÑA STREET;203
KINOPLEX AMAZONAS SALA 01;A COMÉDIA DIVINA;274
KINOPLEX AMAZONAS SALA 01;A CURE FOR WELLNESS;7
KINOPLEX AMAZONAS SALA 01;A DOG´S PURPOSE;523
KINOPLEX AMAZONAS SALA 01;A DOG´S WAY HOME;423
KINOPLEX AMAZONAS SALA 01;A ESPERANÇA É A ÚLTIMA QUE MORRE;760
KINOPLEX AMAZONAS SALA 01;A HAUNTING IN VENICE;145
KINOPLEX AMAZONAS SALA 01;A MAN CALLED OTTO;23
KINOPLEX AMAZONAS SALA 01;A MAN IN THE DARK;2385
KINOPLEX AMAZONAS SALA 01;A MINECRAFT MOVIE;1028
KINOPLEX AMAZONAS SALA 01;A NOITE DA VIRADA;183
KINOPLEX AMAZONAS SALA 01;A QUIET PLACE;691
KINOPLEX AMAZONAS SALA 01;A QUIET PLACE: DAY ONE;4819
KINOPLEX AMAZONAS SALA 01;A QUIET PLACE: PART II;214
KINOPLEX AMAZONAS SALA 01;ABIGAIL;21
KINOPLEX AMAZONAS SALA 01;ABOMINABLE;279
KINOPLEX AMAZONAS SALA 01;ACAMPAMENTO INTERGALÁCTICO;25
KINOPLEX AMAZONAS SALA 01;AD ASTRA;9
KINOPLEX AMAZONAS SALA 01;ADO SPECIAL LIVE “SHINZOU” IN CINEMA;74
KINOPLEX AMAZONAS SALA 01;ADRIFT;234
KINOPLEX AMAZONAS SALA 01;AFTER;73
KINOPLEX AMAZONAS SALA 01;AFTER WE FELL;61
KINOPLEX AMAZONAS SALA 01;AINDA ESTOU AQUI;2978
KINOPLEX AMAZONAS SALA 01;ALADDIN;994
KINOPLEX AMAZONAS SALA 01;ALGUÉM COMO EU;167
KINOPLEX AMAZONAS SALA 01;ALICE THROUGH THE LOOKING GLASS;1727
KINOPLEX AMAZONAS SALA 01;ALIEN: ROMULUS;691
KINOPLEX AMAZONAS SALA 01;ALL FUN AND GAMES;20
KINOPLEX AMAZONAS SALA 01;ALLEGIANT;2780
KINOPLEX AMAZONAS SALA 01;ALVIN AND THE CHIPMUNKS: THE ROAD CHIP;6812
KINOPLEX AMAZONAS SALA 01;AMAZÔNIA PLANETA VERDE;154
KINOPLEX AMAZONAS SALA 01;AMBULANCE;76
KINOPLEX AMAZONAS SALA 01;AMELIA´S CHILDREN;154
KINOPLEX AMAZONAS SALA 01;AMOR.COM;155
KINOPLEX AMAZONAS SALA 01;AN INTERVIEW WITH GOD;285
KINOPLEX AMAZONAS SALA 01;ANGEL HAS FALLEN;780
KINOPLEX AMAZONAS SALA 01;ANNABELLE;2108
KINOPLEX AMAZONAS SALA 01;ANNABELLE COMES HOME;1334
KINOPLEX AMAZONAS SALA 01;ANNABELLE: CREATION;2282
KINOPLEX AMAZONAS SALA 01;ANORA;118
KINOPLEX AMAZONAS SALA 01;ANT-MAN AND THE WASP;426
KINOPLEX AMAZONAS SALA 01;ANT-MAN AND THE WASP: QUANTUMANIA;772
KINOPLEX AMAZONAS SALA 01;ANTLERS;8
KINOPLEX AMAZONAS SALA 01;ANYONE BUT YOU;2045
KINOPLEX AMAZONAS SALA 01;AQUAMAN;3472
KINOPLEX AMAZONAS SALA 01;AQUAMAN AND THE LOST KINGDOM;120
KINOPLEX AMAZONAS SALA 01;ARCA DE NOÉ;52
KINOPLEX AMAZONAS SALA 01;ARGONUTS;3
KINOPLEX AMAZONAS SALA 01;ARRIVAL;826
KINOPLEX AMAZONAS SALA 01;ASSASSIN'S CREED;1004
KINOPLEX AMAZONAS SALA 01;ATTACK ON TITAN THE MOVIE: THE LAST ATTACK;63
KINOPLEX AMAZONAS SALA 01;ATÉ QUE A SORTE NOS SEPARE 3;4976
KINOPLEX AMAZONAS SALA 01;AVATAR: FIRE AND ASH;2250
KINOPLEX AMAZONAS SALA 01;AVATAR: THE WAY OF WATER;6375
KINOPLEX AMAZONAS SALA 01;AVENGERS: ENDGAME;4048
KINOPLEX AMAZONAS SALA 01;AVENGERS: INFINITY WAR;5753
KINOPLEX AMAZONAS SALA 01;BABY DRIVER;773
KINOPLEX AMAZONAS SALA 01;BACK TO THE FUTURE;123
KINOPLEX AMAZONAS SALA 01;BACURAU;156
KINOPLEX AMAZONAS SALA 01;BAD BOYS: RIDE OR DIE;882
KINOPLEX AMAZONAS SALA 01;BAGMAN;2247
KINOPLEX AMAZONAS SALA 01;BALLERINA;1073
KINOPLEX AMAZONAS SALA 01;BARBIE;5641
KINOPLEX AMAZONAS SALA 01;BATMAN VS SUPERMAN;2609
KINOPLEX AMAZONAS SALA 01;BEAST;115
KINOPLEX AMAZONAS SALA 01;BEAUTY AND THE BEAST;2183
KINOPLEX AMAZONAS SALA 01;BED REST;151
KINOPLEX AMAZONAS SALA 01;BEFORE I FALL;33
KINOPLEX AMAZONAS SALA 01;BEM CASADOS;3537
KINOPLEX AMAZONAS SALA 01;BEN-HUR;1897
KINOPLEX AMAZONAS SALA 01;BETTER MAN;38
KINOPLEX AMAZONAS SALA 01;BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN);1474
KINOPLEX AMAZONAS SALA 01;BIRTH OF THE DRAGON;158
KINOPLEX AMAZONAS SALA 01;BLACK ADAM;2794
KINOPLEX AMAZONAS SALA 01;BLACK PANTHER: WAKANDA FOREVER;1205
KINOPLEX AMAZONAS SALA 01;BLACK WIDOW;409
KINOPLEX AMAZONAS SALA 01;BLAIR WITCH;1522
KINOPLEX AMAZONAS SALA 01;BLENDED;1961
KINOPLEX AMAZONAS SALA 01;BLOODSHOT;86
KINOPLEX AMAZONAS SALA 01;BLUE BEETLE;220
KINOPLEX AMAZONAS SALA 01;BOB MARLEY: ONE LOVE;30
KINOPLEX AMAZONAS SALA 01;BODIES BODIES BODIES;387
KINOPLEX AMAZONAS SALA 01;BODYCAM;124
KINOPLEX AMAZONAS SALA 01;BONIFÁCIO, O FUNDADOR DO BRASIL;83
KINOPLEX AMAZONAS SALA 01;BORDERLANDS;155
KINOPLEX AMAZONAS SALA 01;BOSS LEVEL;378
KINOPLEX AMAZONAS SALA 01;BREAKTHROUGH;2180
KINOPLEX AMAZONAS SALA 01;BRIDGET JONE'S BABY;593
KINOPLEX AMAZONAS SALA 01;BRING HER BACK;1049
KINOPLEX AMAZONAS SALA 01;BULLET TRAIN;661
KINOPLEX AMAZONAS SALA 01;BUMBLEBEE;385
KINOPLEX AMAZONAS SALA 01;C.I.C - CENTRAL DE INTELIGÊNCIA CEARENSE;41
KINOPLEX AMAZONAS SALA 01;CAINDO NA REAL;48
KINOPLEX AMAZONAS SALA 01;CALL OF THE WILD;160
KINOPLEX AMAZONAS SALA 01;CANDYMAN;578
KINOPLEX AMAZONAS SALA 01;CAPTAIN AMERICA: BRAVE NEW WORLD;777
KINOPLEX AMAZONAS SALA 01;CAPTAIN AMERICA: CIVIL WAR;4828
KINOPLEX AMAZONAS SALA 01;CAPTAIN MARVEL;782
KINOPLEX AMAZONAS SALA 01;CAPTURE THE FLAG;24
KINOPLEX AMAZONAS SALA 01;CARCEREIROS - O FILMES;200
KINOPLEX AMAZONAS SALA 01;CARROSSEL - O FILME;502
KINOPLEX AMAZONAS SALA 01;CARROSSEL 2 - O SUMIÇO DE MARIA JOAQUINA;1794
KINOPLEX AMAZONAS SALA 01;CARS 3;2335
KINOPLEX AMAZONAS SALA 01;CATS AND DOGS 3: PAWS UNITE!;51
KINOPLEX AMAZONAS SALA 01;CHAPPIE;1749
KINOPLEX AMAZONAS SALA 01;CHARLIE´S ANGELS;365
KINOPLEX AMAZONAS SALA 01;CHICO BENTO E A GOIABEIRA MARAVIOSA;418
KINOPLEX AMAZONAS SALA 01;CHOCANTE;417
KINOPLEX AMAZONAS SALA 01;CINDERELA POP;36
KINOPLEX AMAZONAS SALA 01;CINDERELLA;2491
KINOPLEX AMAZONAS SALA 01;CINDERELLA AND THE SECRET PRINCE;310
KINOPLEX AMAZONAS SALA 01;CIVIL WAR;971
KINOPLEX AMAZONAS SALA 01;CLIFFORD THE BIG RED DOG;176
KINOPLEX AMAZONAS SALA 01;COBWEB;23
KINOPLEX AMAZONAS SALA 01;COCAINE BEAR;11
KINOPLEX AMAZONAS SALA 01;CODA;108
KINOPLEX AMAZONAS SALA 01;COLD PURSUIT (AKA HARD POWDER);378
KINOPLEX AMAZONAS SALA 01;COMO SE TORNAR O PIOR ALUNO DA ESCOLA;888
KINOPLEX AMAZONAS SALA 01;COMPANION;156
KINOPLEX AMAZONAS SALA 01;CONCLAVE;298
KINOPLEX AMAZONAS SALA 01;CORALINE 15TH ANNIVERSARY;3571
KINOPLEX AMAZONAS SALA 01;CORAZON DE PADRE;149
KINOPLEX AMAZONAS SALA 01;COUNTDOWN;177
KINOPLEX AMAZONAS SALA 01;CRAFT, THE;733
KINOPLEX AMAZONAS SALA 01;CREED III;169
KINOPLEX AMAZONAS SALA 01;CRUELLA;196
KINOPLEX AMAZONAS SALA 01;CRÔ EM FAMILIA;27
KINOPLEX AMAZONAS SALA 01;CUANDO ACECHA LA MALDAD;287
KINOPLEX AMAZONAS SALA 01;CZYSCIEC;207
KINOPLEX AMAZONAS SALA 01;D.P.A. - DETETIVES DO PRÉDIO AZUL;254
KINOPLEX AMAZONAS SALA 01;D.P.A. - O FANTÁSTICO REINO DE ONDION;20
KINOPLEX AMAZONAS SALA 01;DADDY'S HOME 2;165
KINOPLEX AMAZONAS SALA 01;DAVID;653
KINOPLEX AMAZONAS SALA 01;DAWN OF THE PLANET OF THE APES;541
KINOPLEX AMAZONAS SALA 01;DC LEAGUE OF SUPERPETS;942
KINOPLEX AMAZONAS SALA 01;DE PERNAS PRO AR 3;5458
KINOPLEX AMAZONAS SALA 01;DEADPOOL & WOLVERINE;240
KINOPLEX AMAZONAS SALA 01;DEADPOOL 2;1727
KINOPLEX AMAZONAS SALA 01;DEATH ON THE NILE;89
KINOPLEX AMAZONAS SALA 01;DEATH WISH;118
KINOPLEX AMAZONAS SALA 01;DEEPWATER HORIZON;219
KINOPLEX AMAZONAS SALA 01;DELIVER US FROM EVIL;2961
KINOPLEX AMAZONAS SALA 01;DEMON SLAYER -KIMETSU NO YAIBA- THE MOVIE: INFINITY CASTLE;211
KINOPLEX AMAZONAS SALA 01;DEMON SLAYER: KIMETSU NO YAIBA – TO THE HASHIRA TRAINING;1104
KINOPLEX AMAZONAS SALA 01;DEMON SLAYER: TO THE SWORDSMITH VILLAGE;117
KINOPLEX AMAZONAS SALA 01;DESAPEGA;401
KINOPLEX AMAZONAS SALA 01;DESPICABLE ME 3;289
KINOPLEX AMAZONAS SALA 01;DESPICABLE ME 4;1175
KINOPLEX AMAZONAS SALA 01;DETETIVES DO PRÉDIO AZUL 2 - O MISTÉRIO ITALIANO;56
KINOPLEX AMAZONAS SALA 01;DETETIVES DO PRÉDIO AZUL 3 - UMA AVENTURA NO FIM DO MUNDO;320
KINOPLEX AMAZONAS SALA 01;DEVOTION;223
KINOPLEX AMAZONAS SALA 01;DIGIMON ADVENTURE 02: THE BEGINNING;149
KINOPLEX AMAZONAS SALA 01;DIVALDO – O MENSAGEIRO DA PAZ;530
KINOPLEX AMAZONAS SALA 01;DIVÓRCIO;459
KINOPLEX AMAZONAS SALA 01;DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS;5586
KINOPLEX AMAZONAS SALA 01;DOG MAN;112
KINOPLEX AMAZONAS SALA 01;DOLITTLE;207
KINOPLEX AMAZONAS SALA 01;DON'T WORRY DARLING;255
KINOPLEX AMAZONAS SALA 01;DON´T BREATHE 2;213
KINOPLEX AMAZONAS SALA 01;DORA AND THE LOST CITY OF GOLD;402
KINOPLEX AMAZONAS SALA 01;DOWNSIZING;359
KINOPLEX AMAZONAS SALA 01;DRACULA UNTOLD;1012
KINOPLEX AMAZONAS SALA 01;DRAGON BALL SUPER: BROLY;5178
KINOPLEX AMAZONAS SALA 01;DRAGON BALL SUPER: SUPER HERO;245
KINOPLEX AMAZONAS SALA 01;DUMBO;2145
KINOPLEX AMAZONAS SALA 01;DUNE;434
KINOPLEX AMAZONAS SALA 01;DUNGEONS & DRAGONS: HONOR AMONG THIEVES;968
KINOPLEX AMAZONAS SALA 01;E.T. THE EXTRA-TERRESTRIAL;58
KINOPLEX AMAZONAS SALA 01;EARLY MAN;33
KINOPLEX AMAZONAS SALA 01;EDGE OF TOMORROW;1653
KINOPLEX AMAZONAS SALA 01;EDUARDO E MÔNICA;113
KINOPLEX AMAZONAS SALA 01;EL CIELO NO PUEDE ESPER@R;206
KINOPLEX AMAZONAS SALA 01;EL GALLO CON MUCHOS HUEVOS;110
KINOPLEX AMAZONAS SALA 01;ELEMENTAL;3043
KINOPLEX AMAZONAS SALA 01;ELEVATION;17
KINOPLEX AMAZONAS SALA 01;ELIO;523
KINOPLEX AMAZONAS SALA 01;ELVIS;654
KINOPLEX AMAZONAS SALA 01;EMILIA PÉREZ;81
KINOPLEX AMAZONAS SALA 01;ENHYPEN [WALK THE LINE SUMMER EDITION] IN CINEMAS;253
KINOPLEX AMAZONAS SALA 01;ENTRANDO NUMA ROUBADA;592
KINOPLEX AMAZONAS SALA 01;EQUALIZER 3;1787
KINOPLEX AMAZONAS SALA 01;ESCAPE ROOM;71
KINOPLEX AMAZONAS SALA 01;ETERNALS;1476
KINOPLEX AMAZONAS SALA 01;EU E MEU AVÔ NIHONJIN;52
KINOPLEX AMAZONAS SALA 01;EU FICO LOKO;447
KINOPLEX AMAZONAS SALA 01;EVERYTHING EVERYWHERE ALL AT ONCE;106
KINOPLEX AMAZONAS SALA 01;EVIDÊNCIAS DO AMOR;204
KINOPLEX AMAZONAS SALA 01;EVIL DEAD RISE;891
KINOPLEX AMAZONAS SALA 01;EXODUS: GODS AND KINGS;3284
KINOPLEX AMAZONAS SALA 01;F1 THE MOVIE;1435
KINOPLEX AMAZONAS SALA 01;FALLEN;86
KINOPLEX AMAZONAS SALA 01;FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD;75
KINOPLEX AMAZONAS SALA 01;FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE;514
KINOPLEX AMAZONAS SALA 01;FANTASY ISLAND;244
KINOPLEX AMAZONAS SALA 01;FAST & FURIOUS 9;1124
KINOPLEX AMAZONAS SALA 01;FAST & FURIOUS PRESENTS: HOBBS & SHAW;187
KINOPLEX AMAZONAS SALA 01;FAST X;4947
KINOPLEX AMAZONAS SALA 01;FERDINAND;724
KINOPLEX AMAZONAS SALA 01;FERRARI;448
KINOPLEX AMAZONAS SALA 01;FIFTY SHADES DARKER;3018
KINOPLEX AMAZONAS SALA 01;FIFTY SHADES FREED;667
KINOPLEX AMAZONAS SALA 01;FINAL DESTINATION: BLOODLINES;238
KINOPLEX AMAZONAS SALA 01;FINDING DORY;2232
KINOPLEX AMAZONAS SALA 01;FIREHEART;86
KINOPLEX AMAZONAS SALA 01;FIRST MAN;27
KINOPLEX AMAZONAS SALA 01;FIVE FEET APART;339
KINOPLEX AMAZONAS SALA 01;FIVE NIGHTS AT FREDDY'S;2496
KINOPLEX AMAZONAS SALA 01;FIVE NIGHTS AT FREDDY'S 2;419
KINOPLEX AMAZONAS SALA 01;FLOW;742
KINOPLEX AMAZONAS SALA 01;FOCUS;2046
KINOPLEX AMAZONAS SALA 01;FRANCISCO: EL PADRE JORGE;1
KINOPLEX AMAZONAS SALA 01;FRANKENSTEIN;324
KINOPLEX AMAZONAS SALA 01;FREAKIER FRIDAY;1832
KINOPLEX AMAZONAS SALA 01;FREAKY;62
KINOPLEX AMAZONAS SALA 01;FREE GUY;124
KINOPLEX AMAZONAS SALA 01;FROZEN II;2495
KINOPLEX AMAZONAS SALA 01;FURIOSA: A MAD MAX SAGA;461
KINOPLEX AMAZONAS SALA 01;FURY;52
KINOPLEX AMAZONAS SALA 01;FÉ PARA O IMPOSSÍVEL;317
KINOPLEX AMAZONAS SALA 01;FÉRIAS TROCADAS;48
KINOPLEX AMAZONAS SALA 01;G-DRAGON IN CINEMA: ÜBERMENSCH;17
KINOPLEX AMAZONAS SALA 01;GABBY'S DOLLHOUSE: THE MOVIE;127
KINOPLEX AMAZONAS SALA 01;GALINHA PINTADINHA MINI - NA TELONA;23
KINOPLEX AMAZONAS SALA 01;GAME NIGHT;407
KINOPLEX AMAZONAS SALA 01;GARFIELD;1102
KINOPLEX AMAZONAS SALA 01;GEMINI MAN;1286
KINOPLEX AMAZONAS SALA 01;GEOSTORM;638
KINOPLEX AMAZONAS SALA 01;GET OUT;683
KINOPLEX AMAZONAS SALA 01;GHOST IN THE SHELL;414
KINOPLEX AMAZONAS SALA 01;GHOSTBUSTERS III;1185
KINOPLEX AMAZONAS SALA 01;GHOSTBUSTERS: AFTERLIFE;1311
KINOPLEX AMAZONAS SALA 01;GHOSTBUSTERS: FROZEN EMPIRE;525
KINOPLEX AMAZONAS SALA 01;GLADIATOR II;310
KINOPLEX AMAZONAS SALA 01;GLASS;4202
KINOPLEX AMAZONAS SALA 01;GOAT;75
KINOPLEX AMAZONAS SALA 01;GOD'S NOT DEAD;531
KINOPLEX AMAZONAS SALA 01;GOD'S NOT DEAD: A LIGHT IN DARKNESS;351
KINOPLEX AMAZONAS SALA 01;GOD'S NOT DEAD: WE THE PEOPLE;856
KINOPLEX AMAZONAS SALA 01;GODZILLA;884
KINOPLEX AMAZONAS SALA 01;GODZILLA - KING OF THE MONSTERS;853
KINOPLEX AMAZONAS SALA 01;GODZILLA MINUS ONE;1509
KINOPLEX AMAZONAS SALA 01;GODZILLA X KONG: THE NEW EMPIRE;1467
KINOPLEX AMAZONAS SALA 01;GONE GIRL;132
KINOPLEX AMAZONAS SALA 01;GOOSEBUMPS 2: HAUNTED HALLOWEEN;805
KINOPLEX AMAZONAS SALA 01;GOSTOSAS, LINDAS E SEXIES;311
KINOPLEX AMAZONAS SALA 01;GRAN TURISMO;298
KINOPLEX AMAZONAS SALA 01;GREEN BOOK;198
KINOPLEX AMAZONAS SALA 01;GREENLAND;1678
KINOPLEX AMAZONAS SALA 01;GREENLAND 2: MIGRATION;2039
KINOPLEX AMAZONAS SALA 01;GUARDIANS OF THE GALAXY VOL. 3;1973
KINOPLEX AMAZONAS SALA 01;GUARDIANS OF THE GALAXY VOL.2;469
KINOPLEX AMAZONAS SALA 01;GUNS AKIMBO;81
KINOPLEX AMAZONAS SALA 01;HALLOWEEN ENDS;518
KINOPLEX AMAZONAS SALA 01;HAN SOLO: A STAR WARS STORY;240
KINOPLEX AMAZONAS SALA 01;HAPPY DEATH DAY 2U;707
KINOPLEX AMAZONAS SALA 01;HAPPY FAMILY;97
KINOPLEX AMAZONAS SALA 01;HAROLD AND THE PURPLE CRAYON;250
KINOPLEX AMAZONAS SALA 01;HARRY POTTER AND THE CHAMBER OF SECRETS;152
KINOPLEX AMAZONAS SALA 01;HARRY POTTER AND THE GOBLET OF FIRE;249
KINOPLEX AMAZONAS SALA 01;HARRY POTTER AND THE PRISONER OF AZKABAN;842
KINOPLEX AMAZONAS SALA 01;HEBE - A ESTRELA DO BRASIL;125
KINOPLEX AMAZONAS SALA 01;HIDDEN FIGURES;19
KINOPLEX AMAZONAS SALA 01;HIT MAN;85
KINOPLEX AMAZONAS SALA 01;HITMAN: AGENT 47;407
KINOPLEX AMAZONAS SALA 01;HOME;1747
KINOPLEX AMAZONAS SALA 01;HOMEM COM H;405
KINOPLEX AMAZONAS SALA 01;HOPPERS;164
KINOPLEX AMAZONAS SALA 01;HORRIBLE BOSSES 2;893
KINOPLEX AMAZONAS SALA 01;HOTEL TRANSYLVANIA 2;2232
KINOPLEX AMAZONAS SALA 01;HOTEL TRANSYLVANIA 3: SUMMER VACATION;629
KINOPLEX AMAZONAS SALA 01;HOUSE OF GUCCI;128
KINOPLEX AMAZONAS SALA 01;HOUSE WITH A CLOCK IN ITS WALLS;84
KINOPLEX AMAZONAS SALA 01;HOW TO BE A LATIN LOVER;26
KINOPLEX AMAZONAS SALA 01;HOW TO TRAIN YOUR DRAGON;635
KINOPLEX AMAZONAS SALA 01;HOW TO TRAIN YOUR DRAGON 2;2347
KINOPLEX AMAZONAS SALA 01;HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD;1303
KINOPLEX AMAZONAS SALA 01;HUNTER KILLER;391
KINOPLEX AMAZONAS SALA 01;HUSTLERS;96
KINOPLEX AMAZONAS SALA 01;I CAN ONLY IMAGINE;1922
KINOPLEX AMAZONAS SALA 01;I KNOW WHAT YOU DID LAST SUMMER;68
KINOPLEX AMAZONAS SALA 01;I STILL BELIEVE;471
KINOPLEX AMAZONAS SALA 01;ICE AGE: COLLISION COURSE;817
KINOPLEX AMAZONAS SALA 01;IF;767
KINOPLEX AMAZONAS SALA 01;IF I STAY;683
KINOPLEX AMAZONAS SALA 01;IMAGINARY;382
KINOPLEX AMAZONAS SALA 01;IMAGINE DRAGONS: LIVE FROM THE HOLLYWOOD BOWL (WITH THE LA FILM ORCHESTRA);14
KINOPLEX AMAZONAS SALA 01;IMMACULATE;931
KINOPLEX AMAZONAS SALA 01;IN THE LOST LANDS;315
KINOPLEX AMAZONAS SALA 01;INCIDENT IN A GHOSTLAND;561
KINOPLEX AMAZONAS SALA 01;INEXPLICÁVEL;7
KINOPLEX AMAZONAS SALA 01;INFERNO;2500
KINOPLEX AMAZONAS SALA 01;INSIDE OUT;1794
KINOPLEX AMAZONAS SALA 01;INSIDE OUT 2;6550
KINOPLEX AMAZONAS SALA 01;INSIDIOUS: THE RED DOOR;328
KINOPLEX AMAZONAS SALA 01;INTERSTELLAR;827
KINOPLEX AMAZONAS SALA 01;IRON LUNG;130
KINOPLEX AMAZONAS SALA 01;IT;12
KINOPLEX AMAZONAS SALA 01;IT FOLLOWS;577
KINOPLEX AMAZONAS SALA 01;IT LIVES INSIDE;50
KINOPLEX AMAZONAS SALA 01;IT: CHAPTER TWO;1097
KINOPLEX AMAZONAS SALA 01;J-HOPE IN THE BOX;7
KINOPLEX AMAZONAS SALA 01;JACK REACHER: NEVER GO BACK;291
KINOPLEX AMAZONAS SALA 01;JASON BOURNE;668
KINOPLEX AMAZONAS SALA 01;JEEPERS CREEPERS: REBORN;108
KINOPLEX AMAZONAS SALA 01;JOHN WICK 3: PARABELLUM;1372
KINOPLEX AMAZONAS SALA 01;JOHN WICK: CHAPTER 2;2309
KINOPLEX AMAZONAS SALA 01;JOHN WICK: CHAPTER 4;2044
KINOPLEX AMAZONAS SALA 01;JOKER;4123
KINOPLEX AMAZONAS SALA 01;JOKER: FOLIE À DEUX;1080
KINOPLEX AMAZONAS SALA 01;JORGE DA CAPADÓCIA;58
KINOPLEX AMAZONAS SALA 01;JOY RIDE;28
KINOPLEX AMAZONAS SALA 01;JUJUTSU KAISEN 0: THE MOVIE;429
KINOPLEX AMAZONAS SALA 01;JUJUTSU KAISEN: EXECUTION;1805
KINOPLEX AMAZONAS SALA 01;JUMANJI: NEXT LEVEL;238
KINOPLEX AMAZONAS SALA 01;JUMANJI: WELCOME TO THE JUNGLE;978
KINOPLEX AMAZONAS SALA 01;JUNG KOOK: I AM STILL;435
KINOPLEX AMAZONAS SALA 01;JUPITER ASCENDING;4704
