TITULO_ORIGINAL;GENEROS;ANO_LANCAMENTO;CLASSIFICACAO
O VENDEDOR DE SONHOS;Drama;2016;Sem Classificacao
OFFICE CHRISTMAS PARTY;Comédia;2016;16
UNDERWORLD: BLOOD WARS;Fantasia, Ação, Thriller, Ficção científica, Terror;2016;14
CAPTAIN FANTASTIC;Aventura, Drama;2016;14
MANCHESTER BY THE SEA;Drama;2016;14
ELIS;Drama;2016;14
JACKIE;Crime, Drama, Thriller;1997;16
COCO;Família, Animação, Música, Aventura;2017;L
FALA SÉRIO, MÃE!;Comédia, Família;2017;10
FERDINAND;Animação, Família, Aventura, Comédia;2017;L
INSIDIOUS: THE LAST KEY;Terror, Thriller;2018;14
JUMANJI: WELCOME TO THE JUNGLE;Aventura, Comédia, Fantasia, Ação;2017;12
MAZE RUNNER: THE DEATH CURE;Ficção científica, Ação, Aventura, Thriller;2018;12
OS PARÇAS;Comédia;2017;10
STAR WARS: THE LAST JEDI;Aventura, Ação, Ficção científica;2017;12
TADEO JONES 2: EL SECRETO DEL REY MIDAS;Animação, Aventura, Comédia, Família;2017;L
THE FOREIGNER;Ação, Thriller, Crime;2017;14
THE GREATEST SHOWMAN;Drama;2017;12
WONDER;Ação, Aventura, Fantasia;2017;12
DARKEST HOUR;Drama, História;2017;12
JUSTICE LEAGUE;Ação, Aventura, Ficção científica;2017;12
THE STAR;Aventura, Ação, Ficção científica;2017;12
WONDER WHEEL;Drama, Romance;2017;12
THE POST;Drama, História;2017;12
CALL ME BY YOUR NAME;Romance, Drama;2017;14
JIGSAW;Terror, Mistério;2017;18
MURDER ON THE ORIENT EXPRESS;Mistério, Drama, Crime;2017;12
THOR: RAGNAROK;Ação, Ficção científica, Comédia;2017;12
ALL THE MONEY IN THE WORLD;Crime, História, Thriller, Drama;2017;12
AQUAMAN;Ação, Aventura, Fantasia;2018;12
BUMBLEBEE;Ação, Aventura, Ficção científica;2018;10
CREED II;Drama, Ação;2018;12
DETETIVES DO PRÉDIO AZUL 2 - O MISTÉRIO ITALIANO;Aventura, Fantasia, Família;2018;L
DRAGON BALL SUPER: BROLY;Ação, Ficção científica, Animação;2018;10
GLASS;Thriller, Drama, Ficção científica;2019;14
HOW TO TRAIN YOUR DRAGON: THE HIDDEN WORLD;Animação, Família, Aventura;2019;L
MINHA VIDA EM MARTE;Comédia, Romance;2018;12
MORTAL ENGINES;Aventura, Ficção científica;2018;14
RALPH BREAKS THE INTERNET;Ação, Aventura, Animação, Comédia, Família, Ficção científica;2018;L
RUSALKA: OZERO MYORTVYKH;Terror, Fantasia, Romance;2018;Sem Classificacao
SPIDER-MAN: INTO THE SPIDER-VERSE;Animação, Ação, Aventura, Ficção científica;2018;10
THE KID WHO WOULD BE KING;Ação, Aventura, Fantasia, Família;2019;L
GREEN BOOK;Drama, Comédia, História;2018;12
MARY POPPINS RETURNS;Fantasia, Família, Comédia;2018;L
SECOND ACT;Romance, Comédia;2018;12
THE WIFE;Drama;2017;12
