TITULO_ORIGINAL;GENEROS;ANO_LANCAMENTO;CLASSIFICACAO
RISEN;Ação, Aventura, Drama, História, Mistério;2016;12
THE WITCH;Terror, Comédia, Romance, Fantasia;2016;Sem Classificacao
ZOOTOPIA;Animação, Aventura, Família, Comédia;2016;L
CONCUSSION;Drama;2013;Sem Classificacao
BEAUTY AND THE BEAST;Romance, Família, Animação, Fantasia;1991;L
GHOST IN THE SHELL;Ficção científica, Drama, Ação;2017;14
KONG: SKULL ISLAND;Ação, Aventura, Fantasia;2017;12
LOGAN;Ação, Drama, Ficção científica;2017;16
POWER RANGERS;Ação, Aventura, Ficção científica;2017;10
SPLIT;Terror, Thriller;2017;14
THE BOSS BABY;Animação, Família, Aventura;2022;L
THE FOUNDER;Drama, História;2016;10
A WRINKLE IN TIME;Aventura, Ficção científica, Família, Fantasia;2018;10
MARY MAGDALENE;Drama;2018;Sem Classificacao
NADA A PERDER;Drama, História;2018;12
OS FAROFEIROS;Comédia;2018;12
PACIFIC RIM: UPRISING;Ação, Fantasia, Ficção científica, Aventura;2018;12
PETER RABBIT;Animação, Aventura, Família;2018;L
READY PLAYER ONE;Aventura, Ação, Ficção científica;2018;12
RED SPARROW;Thriller, Mistério;2018;16
THE COMMUTER;Ação, Thriller, Mistério;2018;14
TOMB RAIDER;Ação, Aventura, Fantasia;2018;14
WINCHESTER;Terror, Thriller;2018;14
EARLY MAN;Família, Comédia, Animação, Aventura;2018;L
LOVE, SIMON;Comédia, Drama, Romance;2018;12
THE 15:17 TO PARIS;Drama, Thriller;2018;14
CAPTAIN MARVEL;Ação, Aventura, Ficção científica;2019;12
COLD PURSUIT (AKA HARD POWDER);Nao Encontrado;Nao Encontrado;Nao Encontrado
DUMBO;Animação, Família;1941;L
FIVE FEET APART;Romance, Drama;2019;12
THE PRODIGY;Terror, Thriller;2019;16
US;Terror, Mistério;2019;16
WONDER PARK;Comédia, Animação, Aventura, Família, Fantasia;2019;L
EL AMOR MENOS PENSADO;Comédia, Romance;2018;14
ON THE BASIS OF SEX;Drama, História;2018;12
BLOODSHOT;Ação, Ficção científica, Aventura;2020;14
ONWARD;Aventura, Animação, Comédia, Família, Fantasia;2020;L
RAYA AND THE LAST DRAGON;Animação, Ação, Aventura, Fantasia, Família;2021;L
AMBULANCE;Thriller, Ação, Crime, Drama;2022;14
BTS PERMISSION TO DANCE ON STAGE - SEOUL: LIVE VIEWING;Música, Documentário;2022;Sem Classificacao
MORBIUS;Ação, Ficção científica, Fantasia;2022;14
THE BAD GUYS;Ação, Animação, Comédia, Crime, Família;2022;L
THE BATMAN;Crime, Mistério, Thriller;2022;14
ALEMÃO 2;Ação, Crime;2022;16
THE ADDAMS FAMILY 2;Animação, Família, Comédia, Fantasia, Aventura;2021;L
65;Ação, Aventura, Ficção científica;2023;12
CORAZON DE PADRE;;2024;Sem Classificacao
CREED III;Drama, Ação;2023;12
DEMON SLAYER: TO THE SWORDSMITH VILLAGE;Animação, Ação, Fantasia, Thriller;2023;16
DUNGEONS & DRAGONS: HONOR AMONG THIEVES;Drama, Aventura, Fantasia;2000;Sem Classificacao
JOHN WICK: CHAPTER 4;Ação, Thriller, Crime;2023;16
SCREAM VI;Terror, Thriller, Crime;2023;18
SHAZAM! FURY OF THE GODS;Comédia, Ação, Fantasia;2023;L
JOHN WICK;Ação, Thriller;2014;16
JOHN WICK 3: PARABELLUM;Ação, Thriller, Crime;2019;16
ARTHUR THE KING;Aventura, Drama;2024;12
GODZILLA X KONG: THE NEW EMPIRE;Ação, Aventura, Ficção científica;2024;12
IMAGINARY;Terror, Mistério;2024;12
KUNG FU PANDA 4;Ação, Aventura, Animação, Comédia, Família, Fantasia;2024;L
OS FAROFEIROS 2;Comédia;2024;12
THE CHOSEN;Drama, História, Aventura;2025;Sem Classificacao
ONE LIFE;História, Drama;2023;12
DOIS É DEMAIS EM ORLANDO;Comédia;2024;L
KILLERS OF THE FLOWER MOON;Crime, História, Drama;2023;14
PAW PATROL: THE MIGHTY MOVIE;Aventura, Animação, Comédia, Família, Ficção científica;2023;L
GUARDIANS OF THE GALAXY VOL. 3;Ficção científica, Aventura, Ação;2023;14
THE LITTLE MERMAID;Animação, Família, Fantasia;1989;L
A WORKING MAN;Ação, Crime, Thriller;2025;16
MICKEY 17;Ficção científica, Comédia, Aventura;2025;16
NOVOCAINE;Ação, Comédia, Thriller;2025;18
SNOW WHITE;Família, Fantasia;2025;L
THE MONKEY;Terror, Comédia;2025;18
UMA ADVOGADA BRILHANTE;Comédia;2025;14
VITÓRIA;Romance, Comédia, Música;2018;14
NUREMBERG;História, Drama;2025;16
PROJECT HAIL MARY;Ficção científica, Aventura;2026;14
REMINDERS OF HIM;Romance, Drama;2026;16
SHELTER;Ação, Crime, Thriller;2026;16
THE BRIDE!;Ficção científica, Terror, Fantasia;2026;16
TWILIGHT;Fantasia, Drama, Romance;2008;12
VELHOS BANDIDOS;Comédia, Ação, Crime;2026;14
ONE BATTLE AFTER ANOTHER;Thriller, Crime, Comédia;2025;16
CAPTAIN AMERICA: THE WINTER SOLDIER;Ação, Aventura, Ficção científica;2014;12
COPA DE ELITE;Comédia;2014;14
DIVERGENT;Ação, Aventura, Ficção científica;2014;14
FADING GIGOLO;Comédia;2013;14
JULIO SUMIU;Drama, Comédia, Crime;2014;Sem Classificacao
NOAH;Drama, Aventura;2014;14
A HAUNTED HOUSE 2;Comédia, Terror;2014;Sem Classificacao
SON OF GOD;Drama;2014;14
CHAPPIE;Crime, Ação, Ficção científica;2015;16
FURIOUS SEVEN;Ação, Crime, Thriller;2015;14
HOME;Ação, Aventura, Ficção científica;2021;12
RUN ALL NIGHT;Ação, Crime, Thriller;2015;16
THE AVENGERS: AGE OF ULTRON;Ação, Aventura, Ficção científica;2015;12
ENTRE ABELHAS;Comédia, Drama, Fantasia;2015;14
DANNY COLLINS;Música, Comédia, Drama;2015;e 16
THE LONGEST RIDE;Drama, Romance;2015;12
10 CLOVERFIELD LANE;Thriller, Ficção científica, Drama, Terror;2016;14
CAPTAIN AMERICA: CIVIL WAR;Aventura, Ação, Ficção científica;2016;12
CAPTURE THE FLAG;;2010;Sem Classificacao
GOD IS NOT DEAD 2;Nao Encontrado;Nao Encontrado;Nao Encontrado
LONDON HAS FALLEN;Ação, Thriller;2016;16
MIRACLES FROM HEAVEN;Família, Drama;2016;10
THE HUNTSMAN;Aventura, Fantasia, Drama;2012;12
THE JUNGLE BOOK;Aventura, Família, Fantasia;2016;10
EM NOME DA LEI;Thriller, Ação, Drama, Mistério;2016;Sem Classificacao
HAIL, CAESAR!;Comédia, Mistério;2016;12
TRUMAN;Comédia, Drama;1998;L
GOSTOSAS, LINDAS E SEXIES;Comédia;2017;Sem Classificacao
GUARDIANS OF THE GALAXY VOL.2;Ficção científica, Aventura, Ação;2017;12
LIFE;Aventura, Animação, Drama, Fantasia, Romance;2017;14
SMURFS: THE LOST VILLAGE;Família, Comédia, Aventura, Animação;2017;L
THE FATE OF THE FURIOUS;Ação, Crime, Thriller;2017;14
THE SHACK;Drama, Família;2017;12
GOING IN STYLE;Crime, Comédia;2017;14
A QUIET PLACE;Terror, Drama, Ficção científica;2018;14
AVENGERS: INFINITY WAR;Aventura, Ação, Ficção científica;2018;12
RAMPAGE;Ação, Aventura, Ficção científica;2018;14
THE CRUCIFIXION;Terror, Mistério, Thriller;2017;14
ENTEBBE;Thriller, Drama, Crime;2018;12
AFTER;Drama, Romance;2021;16
AVENGERS: ENDGAME;Aventura, Ficção científica, Ação;2019;12
BREAKTHROUGH;Drama;2019;10
DE PERNAS PRO AR 3;Comédia;2019;14
SHAZAM!;Ação, Comédia, Fantasia;2019;12
THE CURSE OF LA LLORONA;Terror;2019;14
MARY QUEEN OF SCOTS;Drama, História;2018;Sem Classificacao
THE PROFESSOR AND THE MADMAN;História, Drama, Mistério, Thriller;2019;14
GODZILLA VS. KONG;Ação, Ficção científica, Aventura;2021;14
THE FATHER;Drama;2020;14
THE LITTLE THINGS;Drama, Crime, Thriller;2021;16
DETETIVES DO PRÉDIO AZUL 3 - UMA AVENTURA NO FIM DO MUNDO;Aventura, Família;2022;L
FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE;Fantasia, Aventura;2022;10
JUJUTSU KAISEN 0: THE MOVIE;Animação, Ação, Fantasia;2021;14
SONIC THE HEDGEHOG 2;Ação, Aventura, Família, Comédia;2022;10
THE LOST CITY;Ação, Aventura, Comédia;2022;14
MEDIDA PROVISÓRIA;Drama, Ficção científica;2022;14
EVIL DEAD RISE;Terror, Thriller;2023;18
KNIGHTS OF THE ZODIAC;Fantasia, Ação, Ficção científica;2023;12
LEFT BEHIND: RISE OF THE ANTICHRIST;Ficção científica, Ação, Thriller, Fantasia;2023;14
THE POPE´S EXORCIST;Terror, Thriller;2023;16
THE SUPER MARIO BROS. MOVIE;Família, Comédia, Aventura, Fantasia, Animação;2023;L
THE THREE MUSKETEERS: D’ARTAGNAN;Aventura, Ação, Comédia;1939;Sem Classificacao
AIR;Ação, Thriller, Crime;1997;16
NINGUÉM É DE NINGUÉM;Drama;2023;16
ABIGAIL;Terror, Thriller;2024;18
CIVIL WAR;Guerra, Ação, Drama;2024;18
EVIDÊNCIAS DO AMOR;Comédia, Romance, Fantasia;2024;12
GHOSTBUSTERS: FROZEN EMPIRE;Fantasia, Aventura, Comédia;2024;12
SPY X FAMILY CODE: WHITE;Animação, Comédia, Aventura, Ação;2023;14
SUGA - AGUST D TOUR ‘D-DAY’ THE MOVIE;Documentário, Música;2024;Sem Classificacao
THE FALL GUY;Ação, Comédia, Romance;2024;14
THE FIRST OMEN;Terror;2024;18
CHALLENGERS;Drama, Romance;2024;14
A MINECRAFT MOVIE;Família, Fantasia, Comédia, Aventura;2025;10
SINNERS;Terror, Ação, Thriller;2025;16
STAR WARS: EPISODE III - REVENGE OF THE SITH;Aventura, Ação, Ficção científica;2005;10
THE ACCOUNTANT 2;Mistério, Crime, Thriller;2025;16
THE AMATEUR;Thriller, Ação;2025;14
THE CHOSEN: LAST SUPPER;Drama, História, Aventura;2025;Sem Classificacao
THE KING OF KINGS;Aventura, Animação, Família, Fantasia;2025;10
THUNDERBOLTS*;Ação, Ficção científica, Aventura;2025;14
UNTIL DAWN;Terror, Mistério;2025;18
HOMEM COM H;Drama, Música, História;2025;16
BTS WORLD TOUR ‘ARIRANG’ IN GOYANG: LIVE VIEWING;Música;2026;Sem Classificacao
BTS WORLD TOUR ‘ARIRANG’ IN JAPAN LIVE VIEWING;Música;2026;Sem Classificacao
LEE CRONIN'S THE MUMMY;Terror, Mistério;2026;18
MICHAEL;Música, Drama;2026;12
THE DEVIL WEARS PRADA 2;Comédia, Drama;2026;12
THE DRAMA;Romance, Comédia, Drama;2026;16
THE SUPER MARIO GALAXY MOVIE;Família, Comédia, Aventura, Fantasia, Animação;2026;L
THE TWILIGHT SAGA: NEW MOON;Aventura, Fantasia, Drama, Romance;2009;12
BEN-HUR;História, Drama, Aventura;1959;12
MALÊS;Drama, História;2023;14
UMA MULHER SEM FILTRO;Comédia;2025;14
EDGE OF TOMORROW;Ação, Ficção científica;2014;14
GODZILLA;Ação, Drama, Ficção científica;2014;12
MALEFICENT;Fantasia, Aventura, Ação, Família, Romance;2014;10
THE AMAZING SPIDER-MAN 2;Ação, Aventura, Ficção científica;2014;12
THE OTHER WOMAN;Comédia, Romance;2014;12
X-MEN: DAYS OF FUTURE PAST;Ação, Aventura, Ficção científica;2014;12
OS HOMENS SÃO DE MARTE...E É PRÁ LÁ QUE EU VOU!;Comédia;2014;14
GETÚLIO;Documentário;1974;L
DIVÃ A 2;Romance, Comédia;2015;Sem Classificacao
MAD MAX: FURY ROAD;Ação, Aventura, Ficção científica;2015;16
NARUTO MOVIE: THE LAST;Ação, Romance, Animação;2014;10
POLTERGEIST;Terror;1982;14
SAN ANDREAS;Ação, Drama, Thriller;2015;12
THE GUNMAN;Ação, Drama, Crime;2015;16
O VENDEDOR DE PASSADOS;Drama;2014;Sem Classificacao
THE AGE OF ADALINE;Romance, Fantasia, Drama;2015;14
THE COBBLER;Fantasia, Comédia, Drama;2014;14
THE SECOND BEST EXOTIC MARIGOLD HOTEL;Drama, Comédia;2015;L
ALICE THROUGH THE LOOKING GLASS;Aventura, Família, Fantasia;2016;L
ANGRY BIRDS;Animação, Aventura, Comédia, Família;2016;L
MONEY MONSTER;Thriller, Drama;2016;14
PEPPA PIG, THE GOLDEN BOOTS AND OTHER STORIES;Nao Encontrado;Nao Encontrado;Nao Encontrado
X-MEN: APOCALYPSE;Ficção científica, Fantasia, Ação;2016;12
NEIGHBORS 2: SORORITY RISING;Comédia;2016;16
MOTHER´S DAY;Comédia, Drama, Romance;2016;10
REMEMBER;Drama, Thriller, Mistério;2015;14
ALIEN: COVENANT;Terror, Ficção científica;2017;16
BEFORE I FALL;Drama, Fantasia;2017;12
GET OUT;Mistério, Thriller, Terror;2017;14
KING ARTHUR: LEGEND OF THE SWORD;Ação, Drama, Fantasia;2017;14
NINGUÉM ENTRA, NINGUÉM SAI;Comédia;2017;12
OZZY;Animação, Família;2016;L
PATRIOTS DAY;Ação, Crime, Drama, História, Thriller;2016;14
PIRATES OF THE CARIBBEAN: DEAD MEN TELL NO TALES;Aventura, Ação, Fantasia;2017;12
THE AUTOPSY OF JANE DOE;Terror, Mistério;2016;14
WONDER WOMAN;Ação, Aventura, Fantasia;2017;12
NORMAN: THE MODERATE RISE AND TRAGIC FALL OF A NEW YORK FIXER;Comédia, Thriller, Drama;2016;10
DEADPOOL 2;Ação, Comédia, Aventura;2018;16
DEATH WISH;Ação, Crime, Thriller, Drama;2018;18
GAME NIGHT;Mistério, Comédia, Crime;2018;14
HAN SOLO: A STAR WARS STORY;Ficção científica, Aventura, Ação;2018;12
I CAN ONLY IMAGINE;Música, Drama;2018;12
NÃO SE ACEITAM DEVOLUÇÕES;Comédia;2018;12
PAUL, APOSTLE OF CHRIST;Drama, História;2018;12
SHERLOCK GNOMES;Animação, Família, Fantasia, Comédia, Aventura, Mistério;2018;L
TRUTH OR DARE;Thriller, Terror;2018;14
TULLY;Comédia, Drama;2018;14
ALADDIN;Animação, Família, Aventura, Fantasia, Romance;1992;L
GODZILLA - KING OF THE MONSTERS;Ficção científica, Ação;2019;12
HELLBOY;Fantasia, Terror, Ação, Aventura;2019;16
KARDEC;Drama, História;2019;12
PET SEMATARY;Terror;1989;16
POKEMON DETECTIVE PIKACHU;Ação, Aventura, Fantasia;2019;L
ROCKETMAN;Música, Drama;2019;14
RED JOAN;Thriller, História;2018;14
HOTEL MUMBAI;Thriller, História, Drama, Ação;2019;16
CHAOS WALKING;Fantasia, Ficção científica, Aventura;2021;14
CRUELLA;Comédia, Crime, Drama;2021;12
DEMON SLAYER: MUGEN TRAIN;Animação, Ação, Fantasia;2020;14
MORTAL KOMBAT;Ação, Fantasia, Aventura;2021;16
THE WAR WITH GRANDPA;Comédia, Família;2020;10
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS;Fantasia, Ação, Aventura;2022;14
THE NORTHMAN;Ação, Aventura, Fantasia;2022;18
TOP GUN: MAVERICK;Ação, Drama;2022;12
FAST X;Ação, Crime, Thriller;2023;14
SPIDER-MAN: ACROSS THE SPIDER-VERSE;Animação, Ação, Aventura, Ficção científica;2023;10
LOVE AGAIN;Romance, Drama, Comédia;2023;12
BACK TO BLACK;Música, História, Drama;2024;16
FURIOSA: A MAD MAX SAGA;Ação, Ficção científica, Aventura;2024;16
GARFIELD;Família, Comédia, Aventura, Animação;2024;L
IF;Comédia, Fantasia, Família;2024;L
IMMACULATE;Terror, Mistério, Thriller;2024;18
KINGDOM OF THE PLANET OF THE APES;Ficção científica, Aventura, Ação;2024;14
TAROT;Terror;2024;Sem Classificacao
THE STRANGERS: CHAPTER 1;Terror, Thriller;2024;16
HAIKYU!! THE DUMPSTER BATTLE;Animação, Comédia;2024;12
FINAL DESTINATION: BLOODLINES;Terror, Mistério;2025;18
KARATE KID LEGENDS;Ação, Aventura, Drama;2025;12
LILO & STITCH;Família, Ficção científica, Comédia;2025;10
MISSION: IMPOSSIBLE - THE FINAL RECKONING;Ação, Thriller, Aventura;2025;14
J-HOPE TOUR 'HOPE ON THE STAGE' IN JAPAN: LIVE VIEWING;Música, Documentário;2025;Sem Classificacao
HOW TO TRAIN YOUR DRAGON 2;Fantasia, Ação, Aventura, Animação, Família;2014;L
THE FAULT IN OUR STARS;Romance, Drama;2014;12
TRANSCENDENCE;Thriller, Ficção científica, Drama, Mistério;2014;12
NEIGHBORS;Comédia;2014;16
THE GRAND BUDAPEST HOTEL;Comédia, Drama;2014;14
INSIDE OUT;Animação, Família, Aventura, Drama, Comédia;2015;L
JESSABELLE;Thriller, Terror;2014;Sem Classificacao
JURASSIC WORLD;Ficção científica, Aventura, Ação;2025;14
MINIONS;Aventura, Animação, Comédia, Família, Fantasia;2026;Sem Classificacao
QUALQUER GATO VIRA-LATA 2;Romance, Comédia;2015;12
TOMORROWLAND;Aventura, Família, Mistério, Ficção científica;2015;10
DRAGONBALL Z: FUKKATSU NO FREEZA;Ação, Animação, Ficção científica;2015;10
SPY;Ação, Comédia, Crime;2015;14
ALOHA;Drama, Comédia, Romance;2015;12
FINDING DORY;Aventura, Animação, Família;2016;L
INDEPENDENCE DAY RESURGENCE;Ação, Aventura, Ficção científica;2016;12
MAIS FORTE QUE O MUNDO - A HISTÓRIA DE JOSÉ ALDO;Drama, Ação;2016;14
ME BEFORE YOU;Drama, Romance;2016;12
NOW YOU SEE ME: THE SECOND ACT;Crime, Thriller;2016;12
PORTA DOS FUNDOS - CONTRATO VITALÍCIO;Comédia;2016;12
TEENAGE MUTANT NINJA TURTLES: OUT OF THE SHADOWS;Ação, Aventura, Comédia, Família, Ficção científica;2016;10
THE CONJURING 2;Terror;2016;14
UMA LOUCURA DE MULHER;Romance, Comédia;2016;Sem Classificacao
WARCRAFT;Ação, Aventura, Fantasia;2016;12
AMOR.COM;Romance, Comédia;2017;12
BAYWATCH;Comédia, Ação, Crime;2017;14
DESPICABLE ME 3;Ação, Animação, Comédia, Família, Aventura;2017;L
MEUS 15 ANOS;Drama;2006;Sem Classificacao
THE CIRCLE;Ação, Aventura, Comédia, Crime, Ficção científica;2017;16
THE MUMMY;Terror, Mistério;2026;18
UM TIO QUASE PERFEITO;Comédia, Família;2017;L
EVERYTHING, EVERYTHING;Ação, Aventura, Ficção científica;2022;14
NIEVE NEGRA;Mistério, Drama, Crime, Thriller;2017;14
PARIS CAN WAIT;Comédia, Drama, Romance;2016;Sem Classificacao
BOOK CLUB;Romance;2016;Sem Classificacao
HEREDITARY;Terror, Mistério, Thriller;2018;16
JURASSIC WORLD: FALLEN KINGDOM;Aventura, Ficção científica, Thriller;2018;12
OCEAN'S 8;Crime, Comédia, Ação;2018;14
THE HURRICANE HEIST;Ação, Aventura, Crime, Thriller;2018;14
THE INCREDIBLES 2;Ação, Aventura, Animação, Família;2018;L
I FEEL PRETTY;Comédia, Romance;2018;12
ANNABELLE COMES HOME;Terror;2019;14
MEN IN BLACK INTERNATIONAL;Comédia, Ficção científica, Ação, Aventura;2019;12
PAW PATROL: MIGHTYPUPS;Nao Encontrado;Nao Encontrado;Nao Encontrado
THE SECRET LIFE OF PETS 2;Aventura, Animação, Comédia, Família;2019;L
TOY STORY 4;Família, Comédia, Animação, Aventura;2019;L
TURMA DA MÔNICA - LAÇOS;Família, Aventura, Comédia;2019;L
X-MEN: DARK PHOENIX;Ficção científica, Ação, Aventura;2019;12
LONG SHOT;Crime, Documentário;2017;Sem Classificacao
DOLOR Y GLORIA;Drama;2019;16
FAST & FURIOUS 9;Ação, Crime, Thriller;2023;14
THE CONJURING: THE DEVIL MADE ME DO IT;Terror, Mistério, Thriller;2021;14
SPIRIT UNTAMED;Aventura, Animação, Família, Faroeste;2021;L
SPIRAL - FROM THE BOOK OF SAW;Terror, Mistério;2021;14
JURASSIC WORLD: DOMINION;Aventura, Ficção científica, Thriller;2022;12
LIGHTYEAR;Animação, Ficção científica, Família, Aventura;2022;10
MEMORY;Ação, Thriller, Crime;2022;16
ELEMENTAL;Animação, Comédia, Família, Fantasia, Romance;2023;L
INDIANA JONES AND THE DIAL OF DESTINY;Aventura, Ação;2023;14
NO HARD FEELINGS;Comédia, Romance;2023;16
THE FLASH;Ação, Ficção científica, Aventura;2023;14
TRANSFORMERS: RISE OF THE BEASTS;Ficção científica, Aventura, Ação;2023;12
A QUIET PLACE: DAY ONE;Terror, Ficção científica, Thriller;2024;14
BAD BOYS: RIDE OR DIE;Ação, Comédia, Crime;2024;Sem Classificacao
HARRY POTTER AND THE PRISONER OF AZKABAN;Aventura, Fantasia;2004;12
HIT MAN;Comédia, Romance, Crime;2024;14
INSIDE OUT 2;Animação, Aventura, Comédia, Família;2024;L
THE WATCHERS;Fantasia, Terror, Mistério;2024;14
TÔ DE GRAÇA - O FILME;Comédia;2024;12
28 YEARS LATER;Terror, Thriller, Ficção científica;2025;18
ELIO;Aventura, Animação, Comédia, Família, Ficção científica;2025;L
F1 THE MOVIE;Drama, Ação, Documentário;2022;Sem Classificacao
HOW TO TRAIN YOUR DRAGON;Fantasia, Família, Ação, Aventura;2025;10
M3GAN 2.0;Ação, Ficção científica, Thriller;2025;16
BLENDED;Comédia, Romance;2014;12
DAWN OF THE PLANET OF THE APES;Ficção científica, Ação, Drama, Thriller;2014;Sem Classificacao
GUARDIANS OF THE GALAXY;Ação, Ficção científica, Aventura;2014;12
PLANES FIRE AND RESCUE;Animação, Comédia, Aventura, Família;2014;L
TRANSFORMERS: AGE OF EXTINCTION;Ficção científica, Ação, Aventura;2014;12
KHUMBA;Animação, Aventura, Família;2013;L
ANT-MAN;Ficção científica, Aventura, Ação;2015;12
CARROSSEL - O FILME;Comédia, Família;2015;L
INSIDIOUS: CHAPTER 3;Terror, Thriller;2015;14
MAGIC MIKE XXL;Comédia, Drama;2015;16
MEU PASSADO ME CONDENA 2;Comédia, Romance;2015;12
PAPER TOWNS;Mistério, Drama, Romance;2015;12 Anos
PIXELS;Ação, Comédia, Ficção científica;2015;10
TERMINATOR GENISYS;Ficção científica, Ação, Thriller;2015;12
THE GALLOWS;Terror;2015;Sem Classificacao
SAMBA;Drama, Comédia;2014;12
QU'EST-CE QU'ON A FAIT DU BON DIUE?;Nao Encontrado;Nao Encontrado;Nao Encontrado
CARROSSEL 2 - O SUMIÇO DE MARIA JOAQUINA;Aventura, Comédia, Família;2016;L
ENTRE IDAS E VINDAS;Romance, Comédia;2016;12
GHOSTBUSTERS III;Nao Encontrado;Nao Encontrado;Nao Encontrado
ICE AGE: COLLISION COURSE;Aventura, Animação, Família, Comédia, Ficção científica;2016;L
JASON BOURNE;Ação, Aventura, Thriller;2016;14
THE BFG;Aventura, Família, Fantasia;2016;L
THE LEGEND OF TARZAN;Fantasia, Ação, Aventura;2016;12
THE NICE GUYS;Comédia, Crime, Ação;2016;14
FLORENCE FOSTER JENKINS;Comédia, Drama;2016;10
MIKE AND DAVE NEED WEDDING DATES;Comédia;2016;16
JULIETA;Drama, Romance;1996;14
BABY DRIVER;Ação, Crime;2017;14
CARS 3;Animação, Drama, Família;2017;L
D.P.A. - DETETIVES DO PRÉDIO AZUL;Família, Aventura, Mistério;2017;10
DUNKIRK;Guerra, Ação, Drama;2017;14
SPIDER-MAN: HOMECOMING;Ação, Aventura, Ficção científica;2017;12
TRANSFORMERS: THE LAST KNIGHT;Ação, Aventura, Ficção científica;2017;12
WISH UPON;Terror, Thriller, Fantasia;2017;Sem Classificacao
O FILME DA MINHA VIDA;Drama;2017;14
MR. & MRS. ADELMAN;Comédia, Romance;2002;L
ANT-MAN AND THE WASP;Ação, Aventura, Ficção científica;2018;12
HOTEL TRANSYLVANIA 3: SUMMER VACATION;Animação, Comédia, Família, Fantasia;2018;L
MISSION: IMPOSSIBLE - FALLOUT;Ação, Aventura;2018;14
SKYSCRAPER;Ação, Thriller, Aventura;2018;14
UMA QUASE DUPLA;Comédia;2018;12
ANA E VITÓRIA;Romance, Comédia, Música;2018;14
MULHERES ALTERADAS;Comédia;2018;12
SPIDER-MAN: FAR FROM HOME;Ação, Aventura, Ficção científica;2019;10
THE LION KING;Animação, Família, Drama;1994;L
THE HUSTLE;Comédia, Crime;2019;12
A QUIET PLACE: PART II;Ficção científica, Thriller, Terror;2021;12
BLACK WIDOW;Ação, Aventura, Ficção científica;2021;12
JUNGLE CRUISE;Fantasia, Comédia, Aventura;2021;12
OLD;Thriller, Mistério, Terror;2021;14
SPACE JAM: A NEW LEGACY;Família, Comédia, Aventura, Animação, Ficção científica;2021;L
THE CROODS: A NEW AGE;Animação, Família, Aventura, Fantasia, Comédia;2020;L
DC LEAGUE OF SUPERPETS;Família, Comédia, Aventura, Animação, Ficção científica;2022;L
ELVIS;Música, História, Drama;2022;14
PLUFT, O FANTASMINHA;Família, Comédia, Fantasia;1962;Sem Classificacao
THE BLACK PHONE;Terror, Thriller;2022;16
THOR: LOVE AND THUNDER;Fantasia, Ação, Comédia;2022;14
GOOD LUCK TO YOU, LEO GRANDE;Romance, Drama;2022;16
BARBIE;Comédia, Aventura, Fantasia;2023;12
HAUNTED MANSION;Comédia, Drama, Fantasia;2023;12
INSIDIOUS: THE RED DOOR;Terror, Thriller;2023;12
MISSION: IMPOSSIBLE - DEAD RECKONING PART ONE;Ação, Aventura, Thriller;2023;12
OS AVENTUREIROS - A ORIGEM;Família, Ficção científica;2023;L
DEADPOOL & WOLVERINE;Ação, Comédia, Ficção científica;2024;18
DESPICABLE ME 4;Ação, Animação, Comédia, Família, Ficção científica;2024;L
MAXXXINE;Terror, Thriller;2024;18
TWISTERS;Ação, Thriller;2024;12
I KNOW WHAT YOU DID LAST SUMMER;Terror, Thriller, Mistério;2025;16
JURASSIC WORLD: REBIRTH;Ficção científica, Aventura, Ação;2025;14
MATERIALISTS;Romance, Drama;2025;14
SMURFS;Animação, Família, Fantasia;2025;L
SUPERMAN;Ficção científica, Aventura, Ação;2025;14
THE FANTASTIC FOUR: FIRST STEPS;Ficção científica, Aventura, Ação;2025;12
INTO THE STORM;Ação, Thriller;2014;Sem Classificacao
LUCY;Ação, Ficção científica;2014;16
SEX TAPE;Comédia;2014;16
TEENAGE MUTANT NINJA TURTLES;Ficção científica, Ação, Aventura, Comédia;2014;12
THE EXPENDABLES 3;Ação, Aventura, Thriller;2014;14
THE NUT JOB;Animação, Comédia, Família, Aventura;2014;10
VESTIDO PRA CASAR;Comédia;2014;Sem Classificacao
CHEF;Comédia;2014;12
MAGIC IN THE MOONLIGHT;Comédia, Drama, Romance;2014;12
THE HUNDRED FOOT JOURNEY;Drama, Comédia;2014;10
22 JUMP STREET;Crime, Comédia, Ação;2014;14
HITMAN: AGENT 47;Ação, Crime, Thriller;2015;16
LINDA DE MORRER;Comédia;2015;10
MISSION: IMPOSSIBLE - ROGUE NATION;Ação, Aventura;2015;14
TED 2;Comédia, Fantasia;2015;16
THE FANTASTIC FOUR;Ficção científica, Aventura, Ação;2025;12
THE LITTLE PRINCE;Aventura, Animação, Fantasia, Família;2015;L
THE VATICAN TAPES;Thriller, Terror;2015;Sem Classificacao
PITCH PERFECT 2;Comédia, Música;2015;12
QUE HORAS ELA VOLTA?;Drama;2015;12
SNOWPIERCER;Ação, Animação, Drama, Ficção científica;2013;Sem Classificacao
IRRATIONAL MAN;Drama, Comédia;2015;14
WOMAN IN GOLD;Drama;2015;10
BAD MOMS;Comédia;2016;Sem Classificacao
LIGHTS OUT;Terror;2016;14
NERVE;Mistério, Aventura, Crime;2016;12
SUICIDE SQUAD;Ação, Comédia, Aventura;2021;16
THE SECRET LIFE OF PETS;Aventura, Animação, Comédia, Família;2019;L
THE SHALLOWS;Terror, Drama, Thriller;2016;14
