MES_EXIBICAO,ANO_EXIBICAO,NOME_CINEMA,TITULO_ORIGINAL,PUBLICO,GENEROS,ANO_LANCAMENTO,CLASSIFICACAO,rotten_tomatoes,yt_views,yt_likes,yt_sentiment
1,2024,KINOPLEX UBERABA,WISH,2459,"Animação, Família, Fantasia, Aventura",2023,L,48.0,0.0,0.0,0.0
1,2024,KINOPLEX UBERABA,WONKA,42,"Comédia, Família, Fantasia",2023,10,82.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,ANYONE BUT YOU,878,"Romance, Comédia",2023,16,53.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,AQUAMAN AND THE LOST KINGDOM,3554,"Ação, Aventura, Fantasia",2023,12,33.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,MAMONAS ASSASSINAS O FILME,1146,"Comédia, Música",2023,12,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,MEAN GIRLS,1586,"Drama, Comédia",2004,12,84.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,MIGRATION,2970,"Aventura, Thriller, Ficção científica",2026,14,74.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,MINHA IRMÃ E EU,5298,Comédia,2023,14,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,NIGHT SWIM,288,"Terror, Mistério",2024,14,19.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,NOSSO LAR 2 - OS MENSAGEIROS,2307,Drama,2024,14,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,PRÍNCIPE LU E A LENDA DO DRAGÃO,1803,"Aventura, Fantasia",2024,L,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,RENAISSANCE: A FILM BY BEYONCÉ,221,"Música, Documentário",2023,12,98.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,THE BEEKEEPER,579,"Ação, Crime, Thriller",2024,18,71.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,THE HOLDOVERS,155,"Drama, Comédia",2023,16,97.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO,572,"Aventura, Comédia, Fantasia",2024,Sem Classificacao,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,WISH,6514,"Animação, Família, Fantasia, Aventura",2023,L,48.0,0.0,0.0,0.0
1,2024,KINOPLEX VIA PARQUE,WONKA,2069,"Comédia, Família, Fantasia",2023,10,82.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,ANATOMY OF A FALL,267,"Thriller, Mistério, Crime",2023,14,96.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,ANYONE BUT YOU,1006,"Romance, Comédia",2023,16,53.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,AQUAMAN AND THE LOST KINGDOM,795,"Ação, Aventura, Fantasia",2023,12,33.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,MAMONAS ASSASSINAS O FILME,287,"Comédia, Música",2023,12,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,MAY DECEMBER,298,Drama,2023,16,91.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,MEAN GIRLS,1097,"Drama, Comédia",2004,12,84.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,MIGRATION,1139,"Aventura, Thriller, Ficção científica",2026,14,74.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,MINHA IRMÃ E EU,1599,Comédia,2023,14,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,NAPOLEON,1840,"História, Guerra, Romance",2023,16,58.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,NIGHT SWIM,59,"Terror, Mistério",2024,14,19.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,NOSSO LAR 2 - OS MENSAGEIROS,721,Drama,2024,14,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,PAST LIVES,475,"Drama, Romance",2023,Sem Classificacao,95.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,PRISCILLA,450,"Drama, Romance",2023,16,84.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,PRÍNCIPE LU E A LENDA DO DRAGÃO,81,"Aventura, Fantasia",2024,L,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,RENAISSANCE: A FILM BY BEYONCÉ,442,"Música, Documentário",2023,12,98.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,THE BEEKEEPER,75,"Ação, Crime, Thriller",2024,18,71.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,THE HOLDOVERS,544,"Drama, Comédia",2023,16,97.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO,270,"Aventura, Comédia, Fantasia",2024,Sem Classificacao,0.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,WISH,2111,"Animação, Família, Fantasia, Aventura",2023,L,48.0,0.0,0.0,0.0
1,2024,KINOPLEX VILA OLÍMPIA,WONKA,1975,"Comédia, Família, Fantasia",2023,10,82.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,AQUAMAN AND THE LOST KINGDOM,8365,"Ação, Aventura, Fantasia",2023,12,33.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,MAMONAS ASSASSINAS O FILME,1502,"Comédia, Música",2023,12,0.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,MEAN GIRLS,1089,"Drama, Comédia",2004,12,84.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,MIGRATION,3400,"Aventura, Thriller, Ficção científica",2026,14,74.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,MINHA IRMÃ E EU,9681,Comédia,2023,14,0.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,NIGHT SWIM,861,"Terror, Mistério",2024,14,19.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,NOSSO LAR 2 - OS MENSAGEIROS,2020,Drama,2024,14,0.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,PRÍNCIPE LU E A LENDA DO DRAGÃO,612,"Aventura, Fantasia",2024,L,0.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,THE BEEKEEPER,658,"Ação, Crime, Thriller",2024,18,71.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO,454,"Aventura, Comédia, Fantasia",2024,Sem Classificacao,0.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,WISH,6689,"Animação, Família, Fantasia, Aventura",2023,L,48.0,0.0,0.0,0.0
1,2024,KINOPLEX WEST SHOPPING,WONKA,257,"Comédia, Família, Fantasia",2023,10,82.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,AINDA ESTOU AQUI,1462,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,BAGMAN,120,"Terror, Thriller",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,CHICO BENTO E A GOIABEIRA MARAVIOSA,575,"Família, Aventura, Comédia",2025,L,0.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,CONCLAVE,328,"Drama, Thriller",2024,12,93.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,DEN OF THIEVES 2: PANTERA,87,"Ação, Crime, Thriller",2025,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,EMILIA PÉREZ,20,"Drama, Thriller",2024,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,INTERSTELLAR,1264,"Aventura, Drama, Ficção científica",2014,10,73.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,MOANA 2,2639,"Aventura, Animação, Comédia, Família, Fantasia",2024,L,61.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,MUFASA: THE LION KING,7120,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,NOSFERATU,2365,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,O AUTO DA COMPADECIDA 2,6331,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,PADDINGTON IN PERU,119,"Aventura, Comédia, Família",2024,10,93.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,SONIC THE HEDGEHOG 3,8153,"Ação, Ficção científica, Comédia, Família",2024,12,86.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,THE WIZARD OF THE EMERALD CITY,32,"Aventura, Família, Fantasia",1994,Sem Classificacao,0.0,0.0,0.0,0.0
1,2025,KINOPLEX AMAZONAS,WOLF MAN,482,"Terror, Thriller",2025,16,48.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,AINDA ESTOU AQUI,2033,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,CHICO BENTO E A GOIABEIRA MARAVIOSA,2152,"Família, Aventura, Comédia",2025,L,0.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,CONCLAVE,386,"Drama, Thriller",2024,12,93.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,DEN OF THIEVES 2: PANTERA,41,"Ação, Crime, Thriller",2025,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,EMILIA PÉREZ,33,"Drama, Thriller",2024,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,MOANA 2,2120,"Aventura, Animação, Comédia, Família, Fantasia",2024,L,61.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,MUFASA: THE LION KING,7813,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,NOSFERATU,983,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,O AUTO DA COMPADECIDA 2,6588,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,PADDINGTON IN PERU,260,"Aventura, Comédia, Família",2024,10,93.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,SONIC THE HEDGEHOG 3,5431,"Ação, Ficção científica, Comédia, Família",2024,12,86.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,THE WIZARD OF THE EMERALD CITY,45,"Aventura, Família, Fantasia",1994,Sem Classificacao,0.0,0.0,0.0,0.0
1,2025,KINOPLEX BOULEVARD,WOLF MAN,67,"Terror, Thriller",2025,16,48.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,AINDA ESTOU AQUI,13167,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,ANORA,444,"Drama, Comédia, Romance",2024,16,93.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,BABYGIRL,2400,"Romance, Thriller",2024,18,76.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,BAGMAN,159,"Terror, Thriller",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,CHICO BENTO E A GOIABEIRA MARAVIOSA,4263,"Família, Aventura, Comédia",2025,L,0.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,CONCLAVE,1715,"Drama, Thriller",2024,12,93.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,DEN OF THIEVES 2: PANTERA,89,"Ação, Crime, Thriller",2025,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,EMILIA PÉREZ,49,"Drama, Thriller",2024,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,GLADIATOR II,818,"Ação, Aventura, Drama",2024,16,70.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,INTERSTELLAR,5901,"Aventura, Drama, Ficção científica",2014,10,73.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,KRAVEN THE HUNTER,166,"Ação, Aventura, Thriller",2024,16,15.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,MARIA,273,"História, Drama, Música",2024,14,75.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,MOANA 2,7037,"Aventura, Animação, Comédia, Família, Fantasia",2024,L,61.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,MUFASA: THE LION KING,14217,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,NOSFERATU,9743,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,O AUTO DA COMPADECIDA 2,7847,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,PADDINGTON IN PERU,311,"Aventura, Comédia, Família",2024,10,93.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,SONIC THE HEDGEHOG 3,9631,"Ação, Ficção científica, Comédia, Família",2024,12,86.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,THE WIZARD OF THE EMERALD CITY,40,"Aventura, Família, Fantasia",1994,Sem Classificacao,0.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,WICKED,1562,"Drama, Romance, Fantasia",2024,10,88.0,0.0,0.0,0.0
1,2025,KINOPLEX DOM PEDRO,WOLF MAN,1081,"Terror, Thriller",2025,16,48.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,AINDA ESTOU AQUI,811,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,ANORA,114,"Drama, Comédia, Romance",2024,16,93.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,BABYGIRL,705,"Romance, Thriller",2024,18,76.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,CHICO BENTO E A GOIABEIRA MARAVIOSA,410,"Família, Aventura, Comédia",2025,L,0.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,CONCLAVE,341,"Drama, Thriller",2024,12,93.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,DEN OF THIEVES 2: PANTERA,8,"Ação, Crime, Thriller",2025,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,EMILIA PÉREZ,61,"Drama, Thriller",2024,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,GLADIATOR II,202,"Ação, Aventura, Drama",2024,16,70.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,INTERSTELLAR,81,"Aventura, Drama, Ficção científica",2014,10,73.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,MARIA,273,"História, Drama, Música",2024,14,75.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,MOANA 2,65,"Aventura, Animação, Comédia, Família, Fantasia",2024,L,61.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,MUFASA: THE LION KING,391,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,NOSFERATU,107,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,O AUTO DA COMPADECIDA 2,97,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,PADDINGTON IN PERU,208,"Aventura, Comédia, Família",2024,10,93.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,SONIC THE HEDGEHOG 3,284,"Ação, Ficção científica, Comédia, Família",2024,12,86.0,0.0,0.0,0.0
1,2025,KINOPLEX FASHION MALL,WICKED,116,"Drama, Romance, Fantasia",2024,10,88.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,AINDA ESTOU AQUI,1755,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,ANORA,96,"Drama, Comédia, Romance",2024,16,93.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,CHICO BENTO E A GOIABEIRA MARAVIOSA,1689,"Família, Aventura, Comédia",2025,L,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,CONCLAVE,518,"Drama, Thriller",2024,12,93.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,DEN OF THIEVES 2: PANTERA,48,"Ação, Crime, Thriller",2025,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,EMILIA PÉREZ,36,"Drama, Thriller",2024,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,INTERSTELLAR,675,"Aventura, Drama, Ficção científica",2014,10,73.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,MOANA 2,401,"Aventura, Animação, Comédia, Família, Fantasia",2024,L,61.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,MUFASA: THE LION KING,4415,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,NOSFERATU,2894,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,O AUTO DA COMPADECIDA 2,3688,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,PADDINGTON IN PERU,159,"Aventura, Comédia, Família",2024,10,93.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,SONIC THE HEDGEHOG 3,4120,"Ação, Ficção científica, Comédia, Família",2024,12,86.0,0.0,0.0,0.0
1,2025,KINOPLEX GOLDEN,WOLF MAN,129,"Terror, Thriller",2025,16,48.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,AINDA ESTOU AQUI,2155,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,BAGMAN,147,"Terror, Thriller",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,CHICO BENTO E A GOIABEIRA MARAVIOSA,1244,"Família, Aventura, Comédia",2025,L,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,DEN OF THIEVES 2: PANTERA,84,"Ação, Crime, Thriller",2025,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,INTERSTELLAR,785,"Aventura, Drama, Ficção científica",2014,10,73.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,MOANA 2,7079,"Aventura, Animação, Comédia, Família, Fantasia",2024,L,61.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,MUFASA: THE LION KING,12024,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,NOSFERATU,1825,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,O AUTO DA COMPADECIDA 2,3295,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,PADDINGTON IN PERU,287,"Aventura, Comédia, Família",2024,10,93.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,SONIC THE HEDGEHOG 3,12334,"Ação, Ficção científica, Comédia, Família",2024,12,86.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,THE WIZARD OF THE EMERALD CITY,54,"Aventura, Família, Fantasia",1994,Sem Classificacao,0.0,0.0,0.0,0.0
1,2025,KINOPLEX GRANDE RIO,WOLF MAN,624,"Terror, Thriller",2025,16,48.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,AINDA ESTOU AQUI,5489,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,ANORA,631,"Drama, Comédia, Romance",2024,16,93.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,BABYGIRL,2536,"Romance, Thriller",2024,18,76.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,CHICO BENTO E A GOIABEIRA MARAVIOSA,506,"Família, Aventura, Comédia",2025,L,0.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,CONCLAVE,1385,"Drama, Thriller",2024,12,93.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,DEN OF THIEVES 2: PANTERA,12,"Ação, Crime, Thriller",2025,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,EMILIA PÉREZ,83,"Drama, Thriller",2024,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,GLADIATOR II,506,"Ação, Aventura, Drama",2024,16,70.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,INTERSTELLAR,298,"Aventura, Drama, Ficção científica",2014,10,73.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,MARIA,969,"História, Drama, Música",2024,14,75.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,MOANA 2,83,"Aventura, Animação, Comédia, Família, Fantasia",2024,L,61.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,MUFASA: THE LION KING,64,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,NOSFERATU,1804,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,O AUTO DA COMPADECIDA 2,405,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,PADDINGTON IN PERU,122,"Aventura, Comédia, Família",2024,10,93.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,SONIC THE HEDGEHOG 3,215,"Ação, Ficção científica, Comédia, Família",2024,12,86.0,0.0,0.0,0.0
1,2025,KINOPLEX ITAIM,WICKED,830,"Drama, Romance, Fantasia",2024,10,88.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,AINDA ESTOU AQUI,4444,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,ANORA,587,"Drama, Comédia, Romance",2024,16,93.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,BABYGIRL,2092,"Romance, Thriller",2024,18,76.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,CHICO BENTO E A GOIABEIRA MARAVIOSA,3210,"Família, Aventura, Comédia",2025,L,0.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,CONCLAVE,2509,"Drama, Thriller",2024,12,93.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,DEN OF THIEVES 2: PANTERA,51,"Ação, Crime, Thriller",2025,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,EMILIA PÉREZ,149,"Drama, Thriller",2024,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,INTERSTELLAR,400,"Aventura, Drama, Ficção científica",2014,10,73.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,MARIA,1336,"História, Drama, Música",2024,14,75.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,MOANA 2,593,"Aventura, Animação, Comédia, Família, Fantasia",2024,L,61.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,MUFASA: THE LION KING,2599,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,NOSFERATU,1646,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,O AUTO DA COMPADECIDA 2,1232,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,PADDINGTON IN PERU,1474,"Aventura, Comédia, Família",2024,10,93.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,SONIC THE HEDGEHOG 3,3622,"Ação, Ficção científica, Comédia, Família",2024,12,86.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON,WICKED,706,"Drama, Romance, Fantasia",2024,10,88.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,AINDA ESTOU AQUI,2944,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,ANORA,619,"Drama, Comédia, Romance",2024,16,93.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,BABYGIRL,140,"Romance, Thriller",2024,18,76.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,CONCLAVE,1455,"Drama, Thriller",2024,12,93.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,EMILIA PÉREZ,160,"Drama, Thriller",2024,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,INTERSTELLAR,336,"Aventura, Drama, Ficção científica",2014,10,73.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,MARIA,1131,"História, Drama, Música",2024,14,75.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,MUFASA: THE LION KING,506,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,NOSFERATU,810,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,O AUTO DA COMPADECIDA 2,1048,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
1,2025,KINOPLEX LEBLON GLOBOPLAY,WICKED,221,"Drama, Romance, Fantasia",2024,10,88.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,AINDA ESTOU AQUI,2443,"Drama, História",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,BAGMAN,86,"Terror, Thriller",2024,14,0.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,CHICO BENTO E A GOIABEIRA MARAVIOSA,2499,"Família, Aventura, Comédia",2025,L,0.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,CONCLAVE,619,"Drama, Thriller",2024,12,93.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,DEN OF THIEVES 2: PANTERA,101,"Ação, Crime, Thriller",2025,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,EMILIA PÉREZ,18,"Drama, Thriller",2024,16,0.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,INTERSTELLAR,904,"Aventura, Drama, Ficção científica",2014,10,73.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,MOANA 2,5312,"Aventura, Animação, Comédia, Família, Fantasia",2024,L,61.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,MUFASA: THE LION KING,11655,"Aventura, Família, Animação",2024,10,56.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,NOSFERATU,2612,"Terror, Fantasia",2024,16,85.0,0.0,0.0,0.0
1,2025,KINOPLEX MACEIÓ,O AUTO DA COMPADECIDA 2,22090,"Comédia, Drama",2024,12,0.0,0.0,0.0,0.0
