MES_EXIBICAO;ANO_EXIBICAO;NOME_CINEMA;TITULO_ORIGINAL;PUBLICO
1;2014;KINOPLEX ITAIM;CAPTAIN PHILLIPS;5630
1;2014;KINOPLEX ITAIM;CONFISSÕES DE ADOLESCENTE - O FILME;839
1;2014;KINOPLEX ITAIM;ENDER'S GAME;31
1;2014;KINOPLEX ITAIM;FROZEN;2156
1;2014;KINOPLEX ITAIM;FRUITVALE STATION;37
1;2014;KINOPLEX ITAIM;GRAVITY;485
1;2014;KINOPLEX ITAIM;LA GRANDE BELLEZZA;616
1;2014;KINOPLEX ITAIM;LA VIE D'ADÈLE - CHAPITRES 1 ET 2 AKA LE BLEU EST UNE COULEUR CHAUDE E LA VIE D'ADÈLE;0
1;2014;KINOPLEX ITAIM;LAST VEGAS;3651
1;2014;KINOPLEX ITAIM;MUITA CALMA NESSA HORA 2;810
1;2014;KINOPLEX ITAIM;NYMPHOMANIAC: VOL. I;4021
1;2014;KINOPLEX ITAIM;PHILOMENA;203
1;2014;KINOPLEX ITAIM;TARZAN;555
1;2014;KINOPLEX ITAIM;THE BOOK THIEF;458
1;2014;KINOPLEX ITAIM;THE BROKEN CIRCLE BREAKDOWN;102
1;2014;KINOPLEX ITAIM;THE HOBBIT: THE DESOLATION OF SMAUG;59
1;2014;KINOPLEX ITAIM;THE SECRET LIFE OF WALTER MITTY;3285
1;2014;KINOPLEX ITAIM;THE WOLF OF WALL STREET;9670
1;2014;KINOPLEX LEBLON;47 RONIN;143
1;2014;KINOPLEX LEBLON;AMERICAN HUSTLE;160
1;2014;KINOPLEX LEBLON;ATÉ QUE A SORTE NOS SEPARE 2;6736
1;2014;KINOPLEX LEBLON;AUGUST: OSAGE COUNTY;1322
1;2014;KINOPLEX LEBLON;BLUE JASMINE;46
1;2014;KINOPLEX LEBLON;CAPTAIN PHILLIPS;3015
1;2014;KINOPLEX LEBLON;CONFISSÕES DE ADOLESCENTE - O FILME;3246
1;2014;KINOPLEX LEBLON;DELIVERY MAN;513
1;2014;KINOPLEX LEBLON;DEVIL'S DUE;699
1;2014;KINOPLEX LEBLON;ENDER'S GAME;151
1;2014;KINOPLEX LEBLON;FROZEN;13317
1;2014;KINOPLEX LEBLON;FRUITVALE STATION;95
1;2014;KINOPLEX LEBLON;GRAVITY;1897
1;2014;KINOPLEX LEBLON;I, FRANKENSTEIN;983
1;2014;KINOPLEX LEBLON;LA VIE D'ADÈLE - CHAPITRES 1 ET 2 AKA LE BLEU EST UNE COULEUR CHAUDE E LA VIE D'ADÈLE;0
1;2014;KINOPLEX LEBLON;LAST VEGAS;1229
1;2014;KINOPLEX LEBLON;MUITA CALMA NESSA HORA 2;5831
1;2014;KINOPLEX LEBLON;PARANORMAL ACTIVITY: THE MARKED ONES;1448
1;2014;KINOPLEX LEBLON;PHILOMENA;110
1;2014;KINOPLEX LEBLON;TARZAN;2207
1;2014;KINOPLEX LEBLON;THE HOBBIT: THE DESOLATION OF SMAUG;905
1;2014;KINOPLEX LEBLON;THE WOLF OF WALL STREET;66
1;2014;KINOPLEX LEBLON;WALKING WITH DINOSAURS;1848
1;2014;KINOPLEX MACEIÓ;47 RONIN;182
1;2014;KINOPLEX MACEIÓ;ATÉ QUE A SORTE NOS SEPARE 2;17958
1;2014;KINOPLEX MACEIÓ;AUGUST: OSAGE COUNTY;968
1;2014;KINOPLEX MACEIÓ;BIENVENUE PARMI NOUS;129
1;2014;KINOPLEX MACEIÓ;CONFISSÕES DE ADOLESCENTE - O FILME;7975
1;2014;KINOPLEX MACEIÓ;CRÔ - O FILME;1621
1;2014;KINOPLEX MACEIÓ;DELIVERY MAN;1196
1;2014;KINOPLEX MACEIÓ;ENDER'S GAME;432
1;2014;KINOPLEX MACEIÓ;FROZEN;15248
1;2014;KINOPLEX MACEIÓ;I, FRANKENSTEIN;2612
1;2014;KINOPLEX MACEIÓ;MUITA CALMA NESSA HORA 2;3471
1;2014;KINOPLEX MACEIÓ;PARANORMAL ACTIVITY: THE MARKED ONES;5560
1;2014;KINOPLEX MACEIÓ;TARZAN;7808
1;2014;KINOPLEX MACEIÓ;TESIS SOBRE UN HOMICIDIO;86
1;2014;KINOPLEX MACEIÓ;THE BOOK THIEF;252
1;2014;KINOPLEX MACEIÓ;THE HOBBIT: THE DESOLATION OF SMAUG;2104
1;2014;KINOPLEX MACEIÓ;THE HUNT;0
1;2014;KINOPLEX MACEIÓ;THE SECRET LIFE OF WALTER MITTY;1254
1;2014;KINOPLEX MACEIÓ;THE WOLF OF WALL STREET;4834
1;2014;KINOPLEX MACEIÓ;WALKING WITH DINOSAURS;3744
1;2014;KINOPLEX MADUREIRA;47 RONIN;125
1;2014;KINOPLEX MADUREIRA;ATÉ QUE A SORTE NOS SEPARE 2;11602
1;2014;KINOPLEX MADUREIRA;CONFISSÕES DE ADOLESCENTE - O FILME;2367
1;2014;KINOPLEX MADUREIRA;CRÔ - O FILME;57
1;2014;KINOPLEX MADUREIRA;DELIVERY MAN;240
1;2014;KINOPLEX MADUREIRA;DEVIL'S DUE;1057
1;2014;KINOPLEX MADUREIRA;ENDER'S GAME;474
1;2014;KINOPLEX MADUREIRA;FROZEN;5687
1;2014;KINOPLEX MADUREIRA;GRUDGE MATCH;318
1;2014;KINOPLEX MADUREIRA;I, FRANKENSTEIN;1627
1;2014;KINOPLEX MADUREIRA;MINHOCAS;120
1;2014;KINOPLEX MADUREIRA;MUITA CALMA NESSA HORA 2;4200
1;2014;KINOPLEX MADUREIRA;PARANORMAL ACTIVITY: THE MARKED ONES;3076
1;2014;KINOPLEX MADUREIRA;TARZAN;3123
1;2014;KINOPLEX MADUREIRA;THE HOBBIT: THE DESOLATION OF SMAUG;1064
1;2014;KINOPLEX MADUREIRA;THE SECRET LIFE OF WALTER MITTY;334
1;2014;KINOPLEX MADUREIRA;WALKING WITH DINOSAURS;1378
1;2014;KINOPLEX NOVA AMÉRICA;47 RONIN;302
1;2014;KINOPLEX NOVA AMÉRICA;ATÉ QUE A SORTE NOS SEPARE 2;22983
1;2014;KINOPLEX NOVA AMÉRICA;CONFISSÕES DE ADOLESCENTE - O FILME;2201
1;2014;KINOPLEX NOVA AMÉRICA;CRÔ - O FILME;623
1;2014;KINOPLEX NOVA AMÉRICA;DEVIL'S DUE;1517
1;2014;KINOPLEX NOVA AMÉRICA;ENDER'S GAME;1426
1;2014;KINOPLEX NOVA AMÉRICA;FROZEN;14489
1;2014;KINOPLEX NOVA AMÉRICA;GRAVITY;353
1;2014;KINOPLEX NOVA AMÉRICA;I, FRANKENSTEIN;1831
1;2014;KINOPLEX NOVA AMÉRICA;MINHOCAS;574
1;2014;KINOPLEX NOVA AMÉRICA;MUITA CALMA NESSA HORA 2;10020
1;2014;KINOPLEX NOVA AMÉRICA;PARANORMAL ACTIVITY: THE MARKED ONES;5838
1;2014;KINOPLEX NOVA AMÉRICA;TARZAN;5589
1;2014;KINOPLEX NOVA AMÉRICA;THE BOOK THIEF;387
1;2014;KINOPLEX NOVA AMÉRICA;THE HOBBIT: THE DESOLATION OF SMAUG;3287
1;2014;KINOPLEX NOVA AMÉRICA;THE SECRET LIFE OF WALTER MITTY;938
1;2014;KINOPLEX NOVA AMÉRICA;THE WOLF OF WALL STREET;2639
1;2014;KINOPLEX NOVA AMÉRICA;WALKING WITH DINOSAURS;2903
1;2014;KINOPLEX OSASCO;47 RONIN;145
1;2014;KINOPLEX OSASCO;ATÉ QUE A SORTE NOS SEPARE 2;7040
1;2014;KINOPLEX OSASCO;CONFISSÕES DE ADOLESCENTE - O FILME;2146
